Protein,Len,S0,S0,S1,S1,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown
m.28435,230,3,5,3,4,0.106,0.0264,0.968794,0.642405,0.966689
m.28438,291,2,3,1,3,-4.133,-0.7605,0.984971,0.776308,0.939252
m.285,338,2,1,0,2,4.629,0.5637,0.792203,0.480069,0.947484
m.11543,385,8,9,9,12,-0.308,-0.0861,0.987703,0.670404,0.965647
m.28519,329,4,4,3,5,19.735,2.0991,0.165255,0.062775,0.844792
m.2853,518,0,1,1,3,-9.781,-1.6512,0.917837,0.818898,0.772819
m.28534,505,7,8,7,5,-1.556,-0.3495,0.998193,0.724355,0.957694
m.28537,125,0,0,0,1,3.649,0.4226,0.844264,0.526051,0.955925
m.28546,235,17,27,16,23,11.1,3.142,0.012799,0.002648,0.824675
m.2856,532,15,15,13,16,5.543,1.4685,0.368433,0.201173,0.873763
m.2860,768,15,17,8,16,5.446,0.8185,0.684999,0.393142,0.929557
m.28620,138,0,0,0,1,-1.968,-0.3238,0.999151,0.719856,0.958686
m.28662,374,5,6,3,2,3.003,0.4924,0.818138,0.503554,0.951939
m.28742,295,2,3,2,4,-1.973,-0.3621,0.997618,0.726499,0.9572
m.11553,214,7,5,6,8,-7.196,-1.147,1,0.803532,0.895819
m.28770,229,0,1,0,0,7.897,0.9355,0.617761,0.353742,0.92012
m.2878,281,5,6,4,6,-3.147,-0.4672,0.991259,0.742848,0.952958
m.28820,245,3,5,2,4,-1.224,-0.2009,0.998284,0.696022,0.96293
m.28880,200,1,0,1,1,-6.872,-1.0534,1,0.79833,0.910214
m.28999,107,1,3,2,2,1.099,0.2252,0.916319,0.586866,0.964108
m.29,104,4,3,4,4,11.729,2.671,0.054214,0.014362,0.82983
m.29084,160,1,2,1,2,-8.478,-0.63,0.983327,0.763291,0.94604
m.29137,625,2,1,0,2,-2.701,-0.5968,0.984239,0.759547,0.94752
m.29142,223,1,3,2,2,-6.069,-1.0394,1,0.797478,0.91214
m.29240,253,4,3,2,3,-3.249,-0.7421,0.984203,0.774618,0.940345
m.2928,364,1,1,0,1,0.732,0.0648,0.960591,0.632241,0.966639
m.29291,227,0,1,0,0,-4.415,-0.6492,0.983027,0.765369,0.945153
m.29299,328,1,0,1,0,3.81,0.4164,0.846616,0.528025,0.956257
m.29350,356,0,0,0,1,7.326,0.8759,0.653175,0.37362,0.925043
m.29428,193,7,10,7,9,-10.896,-1.4807,0.961627,0.816035,0.819738
m.295,166,5,7,5,8,0.679,0.1989,0.924704,0.594597,0.964784
m.29523,191,9,8,7,8,-10.174,-1.3419,0.997666,0.811985,0.855429
m.29527,167,0,0,0,0,-0.489,-0.0535,0.983032,0.662574,0.966126
m.29546,408,0,1,0,1,-11.07,-1.4739,0.963586,0.815878,0.821535
m.11603,537,1,1,1,2,-9.404,-1.3047,0.999998,0.810594,0.8644
m.29573,135,3,5,3,9,-2.44,-0.6851,0.982953,0.769095,0.943412
m.29601,249,0,2,0,1,-2.512,-0.4581,0.991859,0.741538,0.953331
m.29602,100,1,0,0,2,4.524,0.7029,0.739433,0.4329,0.938056
m.29606,138,1,1,1,1,-3.027,-0.3833,0.996521,0.730016,0.956359
m.297,271,1,2,1,1,-8.754,-0.9271,0.998385,0.789897,0.925748
m.2970,816,1,1,1,1,19.557,1.6768,0.327664,0.14835,0.861087
m.2971,483,0,1,0,1,5.065,0.7742,0.707435,0.408358,0.932898
m.29844,459,1,1,1,2,-10.551,-1.7508,0.900992,0.819869,0.742132
m.29861,185,10,17,9,12,-16.478,-1.9492,0.871036,0.820954,0.667341
m.1163,121,1,1,2,2,8.195,1.1602,0.487412,0.284207,0.899922
m.29888,284,4,3,4,2,1.697,0.1998,0.924424,0.594334,0.964763
m.29952,124,1,2,2,2,8.95,1.3418,0.407512,0.234122,0.883722
m.29972,1069,3,4,2,4,5.448,0.504,0.813873,0.499767,0.951237
m.3004,377,2,3,3,2,-4.555,-0.6449,0.983078,0.764909,0.945354
m.3005,453,11,21,13,18,-14.15,-1.5288,0.947878,0.817043,0.806907
m.30091,627,0,0,0,1,5.299,0.8541,0.665588,0.380999,0.926783
m.30104,442,9,8,6,10,-3.409,-1.1895,0.999999,0.805633,0.888318
m.30171,172,1,2,1,1,8.207,1.1412,0.497326,0.289732,0.901676
m.30203,117,3,5,3,7,-2.68,-0.6801,0.982924,0.768588,0.943662
m.11636,357,0,1,0,0,2.262,0.3454,0.873566,0.550359,0.95974
m.3027,702,0,0,0,2,4.953,0.7754,0.706852,0.407945,0.932809
m.3029,290,1,1,0,2,2.129,0.3098,0.886814,0.561354,0.961246
m.30295,390,10,11,12,12,-4.5,-1.1378,1,0.803057,0.897358
m.30322,115,0,0,0,2,-7.232,-1.0082,1,0.795509,0.916242
m.3037,1596,2,2,0,1,-0.673,-0.1045,0.99003,0.674718,0.965316
m.30396,488,26,23,24,24,1.219,0.6119,0.774701,0.463912,0.944313
m.304,134,1,2,1,3,-6.583,-1.1788,0.999999,0.805118,0.890268
m.30404,107,1,3,1,3,-17.87,-2.7293,0.371504,0.819059,0.304866
m.30436,263,0,1,1,1,18.113,2.2917,0.104773,0.040503,0.838336
m.3049,769,0,0,0,0,-8.376,-1.0232,1,0.796469,0.914302
m.30492,247,7,6,5,7,7.244,1.4604,0.37052,0.203253,0.874353
m.30496,451,3,5,1,4,10.72,1.7465,0.313495,0.131267,0.857849
m.30517,248,6,6,4,6,13.023,1.6365,0.334679,0.158439,0.863168
m.30602,306,2,1,2,4,-6.908,-1.2172,0.999999,0.80692,0.883067
m.3061,248,4,3,1,3,-5.691,-0.7804,0.985989,0.778088,0.938
m.30649,133,3,5,4,6,15.654,2.0113,0.206201,0.076236,0.847878
m.308,201,4,3,3,4,12.546,1.6821,0.326706,0.147032,0.860825
m.3082,374,2,0,1,2,2.906,0.436,0.839192,0.52177,0.955195
m.11700,147,1,0,0,0,6.171,0.8127,0.68805,0.395129,0.930001
m.3090,880,3,5,5,8,-8.662,-2.2465,0.787709,0.821196,0.520445
m.30904,460,0,0,1,1,12.574,0.9837,0.588378,0.338059,0.915967
m.30917,239,0,0,0,2,-11.163,-1.3291,0.99989,0.811518,0.858578
m.30927,172,14,20,17,16,-6.582,-2.9814,0.274507,0.817423,0.290639
m.30955,229,8,7,7,11,11.089,2.0741,0.176221,0.066364,0.845669
m.30957,121,0,1,0,0,-15.622,-1.2123,0.999999,0.806697,0.884018
m.30965,169,1,1,2,1,-8.5,-1.0605,1,0.798754,0.909215
m.30968,150,4,5,3,3,0.453,0.0735,0.958608,0.629898,0.966599
m.3100,352,4,6,1,5,1.431,0.3236,0.881719,0.557109,0.960683
m.11721,335,0,0,0,0,-2.775,-0.5323,0.987223,0.751676,0.950268
m.31187,410,0,0,0,1,1.913,0.3061,0.888169,0.562489,0.961393
m.3130,1155,3,3,1,4,5.001,0.6705,0.75253,0.444003,0.940323
m.31300,423,2,2,2,3,12.375,1.5066,0.359315,0.191417,0.871083
m.3134,211,1,1,1,2,4.369,0.2698,0.901191,0.573531,0.962729
m.31437,438,4,5,3,5,-4.209,-1.018,1,0.796139,0.914981
m.31443,176,1,2,1,3,6.516,1.5092,0.358733,0.190752,0.870906
m.3146,160,6,7,5,6,19.627,2.2874,0.105699,0.040915,0.838469
m.31460,197,2,5,0,5,-2.312,-0.384,0.996481,0.73013,0.956331
m.31506,166,1,0,0,0,0.089,0.014,0.971256,0.645623,0.96666
m.11724,829,2,2,2,5,3.091,0.7064,0.737971,0.431698,0.937808
m.3153,509,1,2,1,2,3.487,0.6207,0.771458,0.46094,0.943723
m.31542,149,1,0,0,0,-10.662,-1.1364,1,0.802984,0.89759
m.316,240,2,2,1,2,-5.437,-1.3457,0.996876,0.81212,0.854488
m.31623,358,3,3,2,4,3.859,0.4738,0.825023,0.509596,0.953043
m.31625,195,2,1,1,3,10.964,1.7361,0.315881,0.133776,0.858306
m.317,569,0,0,0,0,1.004,0.1816,0.929985,0.599626,0.965173
m.31712,115,1,2,1,4,-14.507,-1.4203,0.978679,0.814494,0.835548
m.3172,280,1,1,0,1,-6.805,-0.8425,0.990344,0.783353,0.933541
m.11725,118,0,1,1,1,-2.53,-0.4847,0.990121,0.745314,0.95224
m.3177,109,0,0,0,1,2.707,0.514,0.810215,0.496493,0.950624
m.3187,131,3,3,2,2,0.008,0.0018,0.973586,0.648759,0.96661
m.31948,99,1,0,0,1,-6.336,-0.787,0.986372,0.778668,0.937568
m.31989,241,4,7,5,5,-7.578,-0.6247,0.983441,0.762707,0.94628
m.32071,562,1,2,0,3,-2.671,-0.2671,0.999999,0.709336,0.960769
m.32074,263,0,0,0,0,0.686,0.0766,0.957892,0.62906,0.966582
m.32095,297,0,0,0,2,4.952,0.853,0.666205,0.381373,0.92687
m.32107,309,2,2,2,1,-2.727,-0.4088,0.995029,0.734097,0.955335
m.11740,629,0,0,0,1,-4.986,-0.953,1,0.791768,0.922892
m.32183,330,0,0,0,0,-4.693,-0.6692,0.982904,0.76747,0.944198
m.3220,414,2,0,1,3,-0.138,-0.0325,0.979664,0.657405,0.966359
m.3221,325,5,4,2,7,0.942,0.2625,0.903737,0.575732,0.962975
m.32284,203,2,2,1,2,4.568,1.0415,0.553516,0.319791,0.910818
m.323,492,3,2,2,4,-2.126,-0.3952,0.995845,0.73194,0.955882
m.32357,153,1,1,1,1,-1.198,-0.2088,0.998657,0.697668,0.962691
m.32358,194,1,1,1,2,3.193,0.2715,0.900593,0.573018,0.96267
m.32359,150,1,0,0,2,11.069,1.6307,0.335671,0.1599,0.863481
m.11744,384,0,0,0,0,-3.867,-0.7338,0.983918,0.773842,0.94082
m.32400,152,12,12,14,13,7.791,1.0731,0.53503,0.310065,0.907944
m.32437,322,4,3,5,4,-3.599,-0.8412,0.990238,0.783247,0.933644
m.3251,282,0,0,0,0,2.336,0.3784,0.86107,0.540044,0.958196
m.3255,868,2,4,3,3,-8.147,-0.8183,0.988451,0.781352,0.935388
m.32551,99,1,1,0,1,-0.942,-0.1871,0.997522,0.693109,0.963333
m.32621,249,0,1,0,1,-0.272,-0.0254,0.978466,0.655636,0.966425
m.11754,237,4,6,3,3,5.162,0.7167,0.733608,0.428157,0.937077
m.32635,153,2,5,3,4,-6.915,-1.3981,0.984551,0.813843,0.841264
m.3273,568,0,1,0,0,-5.119,-0.4977,0.989292,0.747101,0.951704
m.3276,306,0,0,0,0,4.251,0.7911,0.69911,0.402544,0.931637
m.32828,176,9,10,7,10,12.081,1.6944,0.324419,0.143984,0.860228
m.32831,225,4,4,1,6,-6.84,-1.444,0.972121,0.815137,0.829386
m.32846,176,0,2,1,1,-10.319,-0.796,0.986923,0.779451,0.936963
m.32852,395,1,1,1,1,-0.84,-0.1264,0.992497,0.679751,0.964867
m.33026,112,2,3,2,4,2.062,0.3751,0.862326,0.54108,0.958356
m.33059,120,0,0,0,1,-5.255,-0.536,0.987016,0.752151,0.950113
m.33136,368,1,0,0,1,6.469,1.4612,0.370312,0.203047,0.874294
m.332,282,50,42,38,34,2.037,1.0727,0.535261,0.310187,0.907981
m.33410,147,1,0,1,1,-1.488,-0.2269,0.999335,0.701382,0.962124
m.33455,109,5,7,5,5,-11.914,-1.5696,0.93681,0.817764,0.795826
m.33471,155,0,0,0,0,6.548,0.7968,0.696237,0.400585,0.931208
m.33472,425,4,5,3,5,2.287,0.5743,0.788374,0.476534,0.946796
m.33492,113,1,1,1,1,-15.875,-1.9213,0.876205,0.820855,0.679085
m.33503,162,0,1,0,2,7.189,0.6161,0.773156,0.462494,0.944032
m.33514,310,3,4,3,5,-17.034,-2.908,0.286613,0.817825,0.287794
m.33520,102,1,0,0,0,3.361,0.4593,0.830432,0.514283,0.953884
m.33573,158,0,0,0,1,8.851,1.279,0.432024,0.250952,0.889144
m.33585,222,3,3,1,4,10.683,1.9184,0.252193,0.0932,0.851171
m.33765,180,1,0,0,0,0.46,0.0415,0.965675,0.638444,0.966695
m.3377,199,6,6,6,6,-0.669,-0.1353,0.993403,0.681765,0.964668
m.33823,263,11,7,6,9,-10.632,-1.4561,0.968692,0.815446,0.826219
m.11786,188,2,2,2,3,2.925,0.5291,0.804719,0.491529,0.949686
m.33851,449,0,0,0,0,-8.574,-0.9805,1,0.793674,0.919672
m.33885,143,0,0,0,0,13.217,1.2033,0.465981,0.271896,0.895961
m.33899,140,0,0,2,1,2.711,0.2521,0.907321,0.578855,0.963311
m.34056,168,3,1,1,2,-2.745,-0.2926,0.999854,0.714169,0.959853
m.34074,300,0,2,0,1,1.738,0.3148,0.884974,0.559819,0.961045
m.3410,419,2,4,1,2,8.533,0.9374,0.616609,0.353116,0.919959
m.34124,301,0,0,1,2,3.291,0.3526,0.870853,0.548118,0.959415
m.34153,162,0,0,0,0,0.151,0.0291,0.968247,0.6417,0.966692
m.34157,102,14,15,12,16,1.231,0.316,0.884532,0.55945,0.960996
m.34189,296,5,2,2,3,-4.189,-0.7486,0.984457,0.77522,0.939966
m.11819,281,0,0,1,1,5.889,1.0579,0.543856,0.31472,0.909331
m.342,284,9,7,10,15,9.7,0.9124,0.631684,0.361388,0.922056
m.34230,432,1,0,0,2,-9.389,-1.3874,0.987258,0.813513,0.843997
m.3426,883,1,0,0,0,-1.755,-0.1498,0.994755,0.685005,0.964324
m.34307,327,0,1,0,1,-0.909,-0.1274,0.992602,0.679978,0.964845
m.34320,345,4,4,3,4,5.76,0.7798,0.704708,0.406431,0.932482
m.34388,510,0,1,1,1,-10.596,-1.4631,0.96669,0.815619,0.82438
m.34425,200,2,2,3,2,3.743,0.4065,0.850379,0.531171,0.956777
m.3444,334,0,1,1,0,2.293,0.2053,0.922703,0.592725,0.964629
m.34462,419,6,8,5,5,-11.911,-1.4884,0.959405,0.816209,0.817699
m.11826,566,1,2,2,3,-5.463,-0.7617,0.985025,0.776417,0.939178
m.34493,172,1,3,5,3,-9.655,-1.3863,0.987531,0.813479,0.844278
m.34529,167,0,0,0,0,1.555,0.137,0.942705,0.612365,0.965969
m.34604,140,1,3,1,3,-1.687,-0.3483,0.998245,0.724148,0.957741
m.34605,160,0,1,0,0,13.921,1.3022,0.422577,0.244684,0.887111
m.3462,8400,11,9,5,13,-7.108,-1.0959,1,0.800794,0.904017
m.3463,3039,8,8,5,11,5.351,2.2187,0.122845,0.047959,0.840682
m.34688,318,0,0,1,1,-4.154,-0.9644,1,0.792568,0.921579
m.34690,147,1,0,0,1,4.171,0.6972,0.741794,0.434857,0.938458
m.347,455,29,32,17,21,-3.837,-1.2982,0.999999,0.81034,0.865903
m.34713,109,0,2,1,1,2.451,0.2925,0.893111,0.566645,0.961915
m.10080,526,15,15,14,15,-3.63,-0.7133,0.983358,0.771884,0.941949
m.11831,212,1,2,0,1,-9.013,-0.8704,0.992791,0.785587,0.931215
m.3477,1085,14,17,12,14,-11.054,-1.8238,0.89106,0.820377,0.716955
m.348,295,7,7,5,7,-3.759,-0.8346,0.989701,0.782707,0.93416
m.34960,270,0,0,0,0,6.772,1.107,0.515859,0.299838,0.904831
m.34980,153,0,0,0,0,-5.683,-0.5519,0.986174,0.754156,0.949445
m.34991,288,2,2,2,3,-3.623,-0.7824,0.986104,0.778265,0.93787
m.34996,174,0,0,0,0,7.642,0.7311,0.727351,0.423201,0.936046
m.35068,261,3,2,3,4,-2.007,-0.2884,0.999906,0.713384,0.960007
m.11832,897,6,9,5,8,-5.432,-0.9289,0.998571,0.790029,0.925557
m.35071,140,2,2,3,4,7.513,1.1559,0.489631,0.285452,0.900319
m.35100,307,0,1,1,1,-2.101,-0.2252,0.99928,0.701037,0.962178
m.35136,334,1,2,1,2,-6.457,-0.7678,0.985323,0.776967,0.938801
m.35147,172,1,1,2,2,12.401,0.9541,0.606446,0.347644,0.918534
m.3543,203,1,0,1,1,-0.86,-0.1594,0.995566,0.687123,0.964083
m.3547,337,1,0,0,3,1.335,0.1739,0.932274,0.601848,0.965331
m.1184,205,0,1,0,0,-5.17,-1.1346,1,0.80289,0.897887
m.355,256,25,28,26,28,2.215,0.8505,0.667603,0.382222,0.927067
m.35511,123,1,1,1,1,1.676,0.2205,0.917848,0.588255,0.964237
m.35564,204,1,1,1,1,5.535,1.0158,0.568892,0.327838,0.913128
m.3565,211,1,3,1,3,8.12,1.0904,0.525154,0.30482,0.906358
m.35843,140,1,1,1,1,7.266,1.3516,0.403993,0.231533,0.882901
m.35895,213,0,1,0,1,3.438,0.5052,0.813434,0.499375,0.951164
m.35911,133,8,9,7,8,-0.074,-0.0094,0.97565,0.651609,0.966546
m.36003,135,3,2,2,2,4.995,0.4525,0.832981,0.516473,0.954272
m.11842,252,1,2,2,2,-0.407,-0.0832,0.987317,0.669717,0.965695
m.3601,988,2,0,0,1,8.432,1.2538,0.442799,0.257836,0.891386
m.36024,385,12,12,12,13,-5.132,-1.6678,0.914581,0.819087,0.767943
m.36124,147,1,3,1,3,0.791,0.1006,0.952135,0.622507,0.966402
m.3619,642,0,0,0,1,10.433,0.8634,0.660336,0.377845,0.926044
m.362,112,0,0,0,1,4.789,0.3499,0.871871,0.548959,0.959538
m.3621,404,1,1,1,1,-5.838,-0.596,0.984269,0.759454,0.947555
m.36235,154,0,2,5,4,0.646,0.1212,0.946903,0.616796,0.966181
m.3627,290,0,1,2,3,-0.963,-0.1783,0.996963,0.691228,0.96358
m.36293,247,1,0,0,2,4.502,0.8189,0.684787,0.393005,0.929526
m.11876,224,2,1,1,3,6.267,1.2792,0.431941,0.250897,0.889127
m.36305,120,0,0,0,1,0.853,0.0749,0.958285,0.62952,0.966591
m.36358,231,2,0,1,1,-4.924,-0.8648,0.99228,0.785145,0.9317
m.36412,362,1,2,0,2,13.636,2.2923,0.104645,0.040446,0.838317
m.365,460,20,22,14,14,3.259,0.7041,0.738932,0.432488,0.937971
m.36655,249,1,3,1,3,-1.704,-0.1849,0.997389,0.692641,0.963395
m.36657,206,4,4,6,7,-0.776,-0.4092,0.995005,0.73416,0.955319
m.36658,156,4,4,5,4,-9.69,-1.1976,0.999999,0.806016,0.886813
m.36659,126,0,1,0,2,-4.602,-0.7012,0.983136,0.770701,0.942589
m.3666,213,40,35,30,38,0.603,0.2487,0.908481,0.579873,0.963418
m.1188,293,4,5,2,5,-2.381,-0.3463,0.998327,0.723804,0.957819
m.36673,175,3,6,4,4,10.041,2.1437,0.147447,0.056819,0.843236
m.36731,170,4,5,6,5,8.277,1.516,0.357234,0.189016,0.870446
m.3675,482,4,5,2,4,-4.632,-0.5006,0.989107,0.747495,0.951584
m.3689,731,1,2,1,2,3.355,0.898,0.640251,0.366194,0.923245
m.3691,708,1,0,0,1,2.523,0.3407,0.875333,0.551819,0.959949
m.37180,248,1,1,0,1,-9.326,-2.2008,0.804382,0.821237,0.545248
m.3723,105,1,1,1,0,5.932,1.3916,0.390492,0.221047,0.879631
m.37396,133,4,4,3,7,3.556,0.695,0.742697,0.435612,0.938613
m.37474,159,5,10,5,8,5.764,1.0626,0.541113,0.313276,0.908903
m.3760,164,1,1,0,1,-6.521,-1.1535,1,0.803863,0.894713
m.378,200,13,10,10,14,-9.053,-1.0082,1,0.795509,0.916242
m.37833,126,6,5,4,5,-5.317,-1.1875,1,0.805537,0.888686
m.37922,139,1,1,2,1,0.818,0.1018,0.951837,0.622176,0.966391
m.37941,99,0,1,0,0,12.547,1.287,0.428714,0.248783,0.88844
