Protein	Len	S0	S0	S0	S0	S0	S0	S0	S0	S1	S1	S1	S1	S1	S1	S1	S1	LogFoldChange	Zstatistic	fdr	FDRup	FDRdown
m.10205	893	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	-0.682	-0.5820	0.999198	0.449680	0.997247
m.10239	279	0	0	0	1	0	0	1	1	0	1	0	1	1	0	1	0	-0.580	-0.4989	0.998995	0.394228	0.997817
m.10260	232	0	1	2	2	1	1	2	2	1	1	1	2	1	1	2	1	-0.262	-0.2396	0.853308	0.179556	0.982433
m.10264	203	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.531	-0.4768	0.997197	0.377618	0.997838
m.10289	705	0	0	1	0	1	2	1	1	0	1	0	0	2	0	1	1	-0.695	-0.6270	0.997279	0.474722	0.997060
m.10304	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.594	-0.5563	0.999915	0.433782	0.997443
m.10324	680	0	0	2	0	0	0	1	2	1	2	0	3	1	1	2	1	-0.653	-0.6350	0.996911	0.478803	0.997059
m.10327	1122	4	5	4	3	6	4	5	5	6	4	4	5	3	4	4	3	0.961	0.9794	0.000002	0.000000	0.683246
m.10342	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.547	-0.4633	0.995555	0.367134	0.997789
m.10346	250	1	0	0	0	1	0	0	0	1	0	2	0	1	0	1	2	-0.570	-0.4914	0.998510	0.388671	0.997836
m.10353	112	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.710	-0.6111	0.998004	0.466279	0.997093
m.1036	1192	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	-0.729	-0.6107	0.998024	0.466061	0.997095
m.10378	725	3	4	2	2	5	3	3	2	2	2	3	3	2	2	1	2	0.312	0.2981	0.040813	0.003009	0.828698
m.1038	113	6	6	6	7	6	6	7	5	5	6	4	6	6	6	6	6	1.180	1.2271	0.000000	0.000000	0.651509
m.10387	484	3	2	5	2	3	3	2	3	3	5	8	3	4	4	3	3	0.811	0.7308	0.000150	0.000009	0.725629
m.104	1674	15	31	27	38	18	14	35	17	34	33	35	30	29	32	32	29	2.002	3.0021	0.000000	0.000000	0.587456
m.1041	396	1	1	1	1	1	1	1	0	1	1	2	1	1	1	1	2	-0.363	-0.3340	0.946724	0.258414	0.993137
m.1042	331	1	0	1	3	1	0	2	1	3	1	2	1	3	3	2	2	0.044	0.0380	0.322847	0.033535	0.911759
m.1044	836	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.769	-0.6209	0.997535	0.471535	0.997067
m.10463	220	1	1	2	1	0	2	2	0	3	1	2	4	2	2	1	0	-0.062	-0.0526	0.508023	0.064226	0.939781
m.10468	320	5	7	5	5	4	5	6	6	7	5	7	7	5	7	5	7	1.168	1.3561	0.000000	0.000000	0.638976
m.10472	547	1	2	3	4	2	3	3	3	5	4	5	4	2	5	4	2	0.424	0.3982	0.014070	0.000960	0.800569
m.10496	298	8	6	8	6	8	7	6	6	10	4	12	12	5	10	5	9	0.880	0.7650	0.000087	0.000005	0.719182
m.10498	209	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.442	-0.3605	0.962933	0.281338	0.994889
m.10499	214	0	0	1	0	0	1	1	2	1	2	0	1	2	2	3	0	-0.218	-0.2206	0.827094	0.164851	0.979368
m.1054	285	6	6	9	8	5	7	7	5	7	5	4	7	4	6	9	5	0.897	0.9509	0.000003	0.000000	0.687574
m.10547	1648	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	-0.497	-0.4235	0.987674	0.334948	0.997277
m.10557	131	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	-0.526	-0.5283	1.000000	0.415166	0.997658
m.10558	176	3	3	5	4	1	2	4	2	2	4	2	3	4	3	4	2	0.725	0.6457	0.000555	0.000034	0.742557
m.10560	427	6	3	6	5	6	4	2	3	10	9	7	7	10	7	9	6	1.382	1.5390	0.000000	0.000000	0.625192
m.10575	652	3	0	2	0	2	2	0	1	0	1	0	0	2	1	0	0	-0.662	-0.6231	0.997459	0.472692	0.997064
m.10580	205	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	-0.764	-0.6873	0.994887	0.502816	0.997380
m.10586	414	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	-0.891	-0.7701	0.995028	0.532112	0.998954
m.1060	147	1	1	1	3	1	1	2	2	0	1	1	0	1	0	1	1	-0.533	-0.4891	0.998332	0.386950	0.997840
m.10603	487	1	2	1	2	2	2	1	1	2	1	0	1	2	1	1	0	-0.387	-0.3987	0.979991	0.314121	0.996604
m.10605	698	2	1	1	1	1	2	1	1	1	2	2	2	1	1	4	0	0.161	0.1440	0.158418	0.013835	0.877044
m.10621	420	1	2	0	3	1	1	3	2	1	2	4	1	2	2	1	5	0.151	0.1591	0.140965	0.012064	0.872114
m.10638	702	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	1	-0.795	-0.7057	0.994464	0.510206	0.997633
m.10645	257	1	1	1	0	0	0	1	0	0	1	0	0	0	0	2	0	-0.496	-0.4884	0.998282	0.386425	0.997841
m.1069	424	4	5	7	5	5	5	5	3	5	7	5	4	3	3	5	4	0.523	0.4899	0.004693	0.000304	0.777314
m.10693	451	1	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	-0.602	-0.5930	0.998785	0.456130	0.997178
m.107	99	4	8	6	7	5	5	9	8	8	7	8	8	8	8	7	8	1.408	1.3422	0.000000	0.000000	0.640206
m.10713	218	10	10	10	9	9	11	7	9	13	10	12	11	10	11	10	11	1.319	1.0716	0.000000	0.000000	0.670204
m.10714	429	6	5	8	4	4	4	5	7	4	6	5	2	3	4	6	6	0.832	0.7397	0.000131	0.000008	0.723932
m.10723	443	0	1	1	0	0	0	0	2	0	0	0	1	1	0	1	2	-0.787	-0.7562	0.994592	0.527877	0.998635
m.10726	1630	4	3	4	4	3	3	3	3	4	6	2	2	8	5	6	3	0.862	0.8588	0.000018	0.000001	0.702508
m.1073	371	2	3	1	1	1	2	3	3	1	1	2	2	2	1	2	0	-0.138	-0.1218	0.653513	0.098677	0.958561
m.1074	292	1	2	2	2	1	2	2	1	3	3	3	3	2	3	3	1	0.426	0.4032	0.013292	0.000904	0.799241
m.10744	282	3	4	5	3	5	4	3	3	6	3	5	5	4	7	3	6	0.773	0.7091	0.000212	0.000013	0.729823
m.10807	572	15	16	21	18	16	13	17	19	19	16	17	11	19	21	20	15	2.342	3.7599	0.000000	0.000000	0.582250
m.10812	189	2	1	0	0	1	1	2	0	2	0	1	2	1	1	0	1	-0.118	-0.1073	0.623913	0.090620	0.954876
m.10816	192	3	2	2	2	2	2	2	1	3	4	2	2	3	3	3	2	0.259	0.2449	0.067857	0.005260	0.844796
m.10818	372	2	0	1	1	3	1	0	2	0	2	0	1	2	1	1	1	-0.355	-0.2976	0.917712	0.227195	0.989876
m.10831	206	0	0	0	0	0	1	0	1	1	1	3	1	1	1	1	3	-0.340	-0.3714	0.968508	0.290748	0.995471
m.10852	208	0	1	0	1	1	0	1	1	1	3	0	1	1	0	1	1	-0.395	-0.3517	0.957978	0.273726	0.994362
m.10862	241	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	-0.554	-0.5325	1.000000	0.418043	0.997628
m.10878	258	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	-0.812	-0.6745	0.995288	0.497358	0.997246
m.10883	471	12	10	9	11	11	10	10	9	16	14	10	13	13	15	14	11	1.072	0.9576	0.000003	0.000000	0.686544
m.1089	117	8	9	8	9	9	9	10	8	9	7	7	6	8	8	8	8	1.095	1.2594	0.000000	0.000000	0.648128
m.10893	298	10	19	14	20	12	10	17	14	18	14	8	16	12	19	11	5	1.168	0.9567	0.000003	0.000000	0.686682
m.10901	228	0	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	-0.690	-0.6515	0.996178	0.486874	0.997098
m.10905	398	2	4	3	1	0	1	2	3	5	5	3	1	4	2	3	2	0.628	0.5943	0.001165	0.000072	0.753440
m.10909	251	1	0	2	0	1	1	0	2	0	0	0	0	1	0	0	0	-0.380	-0.3300	0.943933	0.254959	0.992828
m.10914	217	5	4	3	4	4	4	2	2	4	4	3	3	2	4	3	5	0.762	0.8105	0.000041	0.000002	0.710911
m.10928	723	2	1	2	3	3	3	1	2	2	2	2	1	1	2	2	1	-0.255	-0.2080	0.808320	0.155408	0.977163
m.10938	346	1	2	3	3	1	1	2	4	5	3	2	5	4	6	3	3	0.529	0.5198	0.003198	0.000204	0.770214
m.10939	1302	2	2	1	2	1	1	3	1	1	2	2	3	2	2	2	2	-0.167	-0.1561	0.720062	0.119492	0.966671
m.10942	329	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	-0.623	-0.5240	0.999939	0.412190	0.997688
m.10944	532	0	1	0	0	0	0	1	2	0	0	0	0	1	1	1	0	-0.698	-0.6694	0.995473	0.495109	0.997204
m.10974	566	3	3	2	4	3	3	3	1	3	3	2	3	5	3	3	2	0.674	0.5216	0.003124	0.000199	0.769794
m.110	1165	27	46	47	53	25	29	48	39	35	44	38	38	45	39	40	35	3.040	2.9938	0.000000	0.000000	0.587539
m.1100	513	3	2	4	1	3	1	3	2	3	2	3	3	2	4	2	4	0.357	0.3075	0.037150	0.002716	0.825934
m.11021	150	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	-0.751	-0.5796	0.999281	0.448244	0.997264
m.1103	1107	0	2	0	1	0	0	1	0	1	0	0	0	0	1	0	0	-0.713	-0.7274	0.994272	0.518254	0.998018
m.11035	299	2	2	2	3	2	2	3	2	1	1	0	3	1	0	2	0	-0.483	-0.4125	0.984565	0.325770	0.997017
m.11041	876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.662	-0.6144	0.997857	0.468068	0.997083
m.11045	121	1	2	1	2	1	1	2	1	2	1	0	2	0	3	1	1	-0.223	-0.2153	0.819329	0.160848	0.978457
m.11092	1439	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.621	-0.5678	0.999655	0.441038	0.997351
m.11100	1144	6	9	10	9	7	8	8	6	9	12	6	6	6	7	13	7	1.760	1.8673	0.000000	0.000000	0.608954
m.11107	150	6	9	8	7	9	6	9	7	9	7	8	8	8	7	8	6	1.304	1.2467	0.000000	0.000000	0.649438
m.11115	300	0	0	2	0	1	2	0	0	0	0	3	0	1	0	0	2	-0.386	-0.3398	0.950611	0.263428	0.993563
m.11137	540	0	1	0	1	0	1	1	2	1	1	1	0	0	0	0	1	-0.539	-0.5331	1.000000	0.418451	0.997623
m.11149	227	6	6	4	5	4	7	8	4	8	6	5	7	5	7	6	6	0.589	0.4765	0.005550	0.000361	0.780570
m.11152	593	1	0	1	0	1	1	0	1	0	1	0	1	0	0	2	1	-0.642	-0.5630	0.999772	0.438038	0.997389
m.1116	106	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.595	-0.5022	0.999186	0.396646	0.997806
m.11167	387	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.494	-0.4179	0.986141	0.330289	0.997152
m.1126	148	2	3	2	2	2	1	2	2	2	2	2	4	3	5	2	3	0.165	0.1625	0.137237	0.011693	0.871008
m.11265	213	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	-0.518	-0.4721	0.996679	0.373996	0.997827
m.11298	283	1	1	1	0	1	0	2	0	0	1	2	0	0	0	1	0	-0.670	-0.6634	0.995683	0.492408	0.997160
m.113	378	14	41	29	33	17	16	37	27	37	23	30	40	25	37	24	27	2.203	2.1419	0.000000	0.000000	0.600709
m.11313	319	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.582	-0.5496	1.000000	0.429449	0.997497
m.1133	280	0	2	2	1	2	1	1	3	1	2	2	1	1	2	2	1	-0.451	-0.4343	0.990309	0.343851	0.997479
m.11340	155	2	0	3	1	2	3	2	2	1	1	2	1	2	2	1	2	-0.081	-0.0722	0.549975	0.072961	0.945390
m.11346	282	0	1	0	1	0	0	1	1	1	1	2	0	1	1	1	1	-0.461	-0.3988	0.980028	0.314206	0.996607
m.1135	538	3	2	8	4	3	4	3	4	5	5	9	4	4	5	5	7	0.717	0.6639	0.000423	0.000026	0.738826
m.11354	351	8	9	9	7	7	9	10	9	9	11	8	9	8	11	11	8	1.860	2.4205	0.000000	0.000000	0.594919
m.11405	546	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	-0.550	-0.4703	0.996465	0.372601	0.997821
m.1141	910	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	-0.621	-0.5657	0.999693	0.439731	0.997368
m.11430	456	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.609	-0.5421	1.000000	0.424507	0.997556
m.11436	297	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	-0.677	-0.5679	0.999653	0.441101	0.997351
m.11443	1087	2	1	0	2	2	1	2	0	1	2	0	2	2	2	2	0	-0.025	-0.0240	0.447172	0.052878	0.931260
m.1145	390	0	1	1	1	0	0	1	1	1	0	1	1	0	1	0	0	-0.597	-0.5019	0.999174	0.396427	0.997807
m.11458	213	2	4	4	2	2	1	3	5	3	2	3	3	3	1	3	3	0.348	0.3542	0.022860	0.001610	0.812575
m.11472	334	2	3	3	3	2	2	5	4	4	5	2	1	4	4	5	3	0.632	0.5834	0.001357	0.000085	0.755818
m.11482	410	1	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	-0.488	-0.4233	0.987619	0.334782	0.997273
m.1149	736	0	2	2	0	2	0	1	1	3	2	0	2	2	2	2	0	0.072	0.0664	0.271882	0.026805	0.902527
m.115	216	4	5	5	6	4	3	4	4	6	5	6	5	6	7	4	7	0.982	1.0345	0.000001	0.000000	0.675275
m.1152	2284	1	1	1	1	5	3	0	1	0	0	4	0	0	0	0	0	-0.658	-0.5883	0.998967	0.453400	0.997206
m.11523	224	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	-0.614	-0.5061	0.999385	0.399482	0.997789
m.11536	523	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	2	-0.299	-0.2433	0.858117	0.182480	0.982994
m.11543	385	5	2	4	3	6	5	4	4	4	4	6	5	7	5	5	6	0.679	0.6452	0.000559	0.000034	0.742660
m.11553	214	8	6	9	9	7	8	7	6	13	7	6	11	10	16	11	6	1.463	1.3022	0.000000	0.000000	0.643903
m.11561	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.787	-0.7485	0.994438	0.525418	0.998462
m.1157	147	2	1	2	2	2	2	2	1	2	2	2	3	3	3	3	2	0.507	0.4793	0.005360	0.000349	0.779886
m.11575	150	1	2	3	2	0	2	3	1	1	1	2	2	2	1	0	0	-0.459	-0.4604	0.995125	0.364851	0.997771
m.11603	537	0	2	2	2	0	0	2	1	1	1	2	2	0	1	1	2	-0.292	-0.2722	0.892370	0.205906	0.986967
m.1163	121	2	2	4	2	2	2	3	3	2	4	2	3	3	3	5	2	0.166	0.1807	0.118531	0.009870	0.865112
m.1164	164	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	-0.522	-0.5000	0.999074	0.395036	0.997814
m.11654	271	1	1	1	1	1	1	0	1	0	1	0	0	1	0	1	0	-0.698	-0.6209	0.997535	0.471535	0.997067
m.1168	430	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	-0.729	-0.6451	0.996456	0.483798	0.997076
m.11683	186	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-0.673	-0.5629	0.999774	0.437975	0.997390
m.11687	197	1	2	1	0	1	1	1	0	0	1	0	1	1	0	1	0	-0.638	-0.5325	1.000000	0.418043	0.997628
m.11700	147	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.622	-0.6030	0.998359	0.461809	0.997126
m.11724	829	2	2	4	5	3	4	1	1	1	3	1	1	3	3	4	1	-0.129	-0.1306	0.671097	0.103784	0.960725
m.11725	118	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	-0.600	-0.5578	0.999868	0.434742	0.997430
m.1173	565	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	-0.805	-0.7766	0.995291	0.534006	0.999103
m.11744	384	1	2	2	3	2	1	2	1	2	3	0	2	1	2	1	0	-0.263	-0.2287	0.838582	0.171055	0.980713
m.11754	237	3	3	4	2	4	3	2	3	2	2	2	4	3	4	2	3	0.220	0.2201	0.084797	0.006747	0.852542
m.11767	390	2	1	2	1	0	0	0	1	0	1	0	1	0	0	0	1	-0.812	-0.8101	0.997392	0.542928	0.999769
m.1177	593	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	-0.483	-0.3946	0.978482	0.310635	0.996461
m.11786	188	0	0	1	0	0	0	0	1	0	1	2	0	1	1	1	1	-0.710	-0.6762	0.995221	0.498098	0.997262
m.11819	281	3	5	4	7	3	3	6	4	3	3	3	3	3	6	4	3	0.594	0.5522	0.002081	0.000131	0.762765
m.11820	1432	0	1	2	1	0	0	0	1	0	1	0	0	1	1	1	0	-0.773	-0.7695	0.995003	0.531935	0.998940
m.11826	566	0	2	1	1	0	0	1	1	0	1	1	0	0	1	2	1	-0.447	-0.4366	0.990822	0.345733	0.997515
m.11828	346	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	-0.825	-0.7478	0.994421	0.525191	0.998446
m.11831	212	6	4	4	1	7	7	3	4	2	4	3	2	5	3	4	2	0.551	0.4637	0.006499	0.000426	0.783724
m.11832	897	6	7	8	9	6	8	10	6	6	11	5	8	9	9	6	6	1.646	1.4419	0.000000	0.000000	0.631982
m.11842	252	1	0	1	0	0	1	0	2	0	0	0	1	0	0	0	1	-0.772	-0.6606	0.995808	0.491127	0.997143
m.11872	568	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	-0.621	-0.5819	0.999203	0.449620	0.997248
m.11876	224	0	1	0	1	0	0	0	0	2	1	1	0	1	1	0	1	-0.563	-0.4708	0.996529	0.372988	0.997823
m.1188	293	3	4	3	4	3	2	3	3	3	5	5	2	3	5	5	6	0.488	0.4944	0.004433	0.000286	0.776231
m.11898	748	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	-0.528	-0.4632	0.995542	0.367056	0.997788
m.11907	647	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.444	-0.4116	0.984290	0.325015	0.996993
m.11921	315	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.683	-0.6348	0.996918	0.478702	0.997059
m.11924	283	0	0	1	0	0	0	0	2	0	1	0	0	1	1	0	0	-0.858	-0.7656	0.994867	0.530769	0.998851
m.11933	202	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	-0.667	-0.5711	0.999552	0.443078	0.997326
m.11971	202	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	-0.853	-0.7904	0.996007	0.537847	0.999405
m.11993	245	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.705	-0.5776	0.999353	0.447040	0.997278
m.11995	326	5	3	3	2	4	5	3	1	4	3	5	3	1	4	3	2	0.552	0.5277	0.002884	0.000183	0.768375
m.12002	156	1	1	2	2	2	0	1	0	0	3	2	2	2	1	0	2	-0.173	-0.1586	0.724681	0.121104	0.967227
m.12007	433	3	5	7	3	3	2	3	7	7	8	6	5	4	4	5	7	1.176	1.1336	0.000000	0.000000	0.662259
m.12009	511	0	2	1	3	1	0	3	1	2	2	2	1	3	3	2	2	0.080	0.0711	0.263902	0.025805	0.900989
m.12028	524	0	1	0	0	1	0	2	0	0	0	0	0	1	0	0	0	-0.486	-0.4802	0.997551	0.380219	0.997842
m.12035	180	2	1	1	1	2	1	2	2	1	2	1	0	2	0	1	1	-0.672	-0.6072	0.998175	0.464141	0.997108
m.1204	135	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	-0.778	-0.7582	0.994649	0.528502	0.998681
m.12048	569	6	8	8	10	6	6	7	3	8	9	7	8	10	7	11	6	1.643	1.3480	0.000000	0.000000	0.639689
m.12051	247	1	1	2	1	2	1	1	0	1	2	1	1	2	2	1	0	-0.178	-0.1695	0.744433	0.128276	0.969592
m.12056	309	0	1	2	1	0	1	1	0	2	1	3	2	1	1	1	1	-0.149	-0.1407	0.690868	0.109845	0.963139
m.12069	191	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.333	-0.2817	0.902360	0.213804	0.988118
m.12097	491	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	-0.675	-0.6041	0.998293	0.462422	0.997121
m.12124	155	2	1	1	1	2	1	0	1	1	3	0	0	2	1	1	0	-0.259	-0.2397	0.853439	0.179635	0.982449
m.12129	447	36	73	57	72	30	38	71	53	55	61	50	55	54	47	64	45	2.872	8.3622	0.000000	0.000000	0.578564
m.1215	381	2	5	2	6	3	1	3	2	3	3	3	3	5	2	2	2	0.412	0.4047	0.013067	0.000888	0.798843
m.12175	403	3	3	3	3	1	2	2	2	3	1	3	2	3	1	3	1	-0.133	-0.1271	0.664146	0.101733	0.959871
m.12185	535	2	2	1	2	2	2	2	1	2	2	0	4	2	3	3	2	-0.066	-0.0587	0.521087	0.066860	0.941549
m.12229	471	11	20	14	18	13	13	20	15	20	19	15	19	18	20	19	17	1.627	1.4649	0.000000	0.000000	0.630271
m.1223	739	1	2	3	2	1	2	1	0	2	3	2	1	4	0	2	1	0.140	0.1360	0.168272	0.014861	0.879664
m.12238	232	11	16	15	14	12	12	15	12	14	14	14	16	13	15	13	13	2.125	2.1958	0.000000	0.000000	0.599430
m.12306	644	0	1	1	2	0	1	1	2	1	1	1	1	1	0	0	0	-0.509	-0.4819	0.997697	0.381513	0.997843
m.12326	225	1	1	0	1	0	0	0	0	1	1	0	1	1	1	2	0	-0.456	-0.3983	0.979845	0.313782	0.996590
m.12334	1458	2	3	2	1	2	3	3	1	2	4	2	2	3	2	3	1	0.220	0.2018	0.099363	0.008069	0.858343
m.1235	511	2	2	2	0	4	3	2	1	0	1	1	1	2	2	3	2	-0.165	-0.1561	0.720062	0.119492	0.966671
m.12364	195	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	-0.773	-0.6702	0.995441	0.495464	0.997210
m.1238	450	1	3	2	2	3	3	2	2	1	2	1	2	2	1	2	0	-0.283	-0.2512	0.868064	0.188784	0.984151
m.1240	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.589	-0.5061	0.999385	0.399482	0.997789
m.12417	694	3	3	3	1	2	2	4	2	2	4	3	2	4	2	4	3	0.384	0.3183	0.033294	0.002412	0.822788
m.1245	204	13	16	17	16	13	14	13	15	13	18	14	13	15	12	15	12	1.563	1.7673	0.000000	0.000000	0.612991
m.1249	263	3	10	8	10	2	1	11	6	8	5	5	6	4	8	5	6	0.885	0.9151	0.000007	0.000000	0.693208
m.12517	148	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	-0.699	-0.6109	0.998014	0.466170	0.997094
m.12521	914	10	10	12	10	9	9	9	8	10	9	15	11	11	11	10	7	1.458	1.5563	0.000000	0.000000	0.624095
m.12550	201	1	2	2	1	2	2	1	1	3	2	3	2	2	2	2	3	0.249	0.2115	0.091413	0.007342	0.855259
m.12589	426	0	0	0	0	0	2	0	2	0	1	0	0	0	0	1	0	-0.689	-0.6015	0.998430	0.460968	0.997133
m.12606	311	0	0	0	1	0	0	0	1	2	1	3	1	2	1	1	2	-0.135	-0.1468	0.702572	0.113608	0.964560
m.1261	196	1	3	2	3	1	1	3	1	1	1	2	1	1	2	0	2	-0.301	-0.2707	0.890736	0.204667	0.986779
m.12642	195	16	20	22	22	16	16	23	17	26	19	20	22	18	25	22	20	2.622	4.8430	0.000000	0.000000	0.580183
m.12643	211	1	1	1	0	1	0	1	0	0	1	0	0	1	1	2	0	-0.387	-0.3724	0.968988	0.291609	0.995520
m.12644	250	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.662	-0.6007	0.998456	0.460518	0.997137
m.12647	377	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	-0.591	-0.5138	0.999698	0.405012	0.997751
m.12648	162	1	1	0	1	1	1	1	0	1	0	0	1	1	2	1	1	-0.581	-0.5830	0.999145	0.450275	0.997240
m.1265	381	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	-0.491	-0.4028	0.981430	0.317596	0.996737
m.12659	176	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	-0.250	-0.2341	0.845980	0.175245	0.981578
m.12662	470	5	6	8	6	5	6	4	7	7	6	5	9	5	7	8	9	1.177	1.1575	0.000000	0.000000	0.659372
