Protein	Len	S0	S0	S0	S0	S0	S0	S0	S0	S1	S1	S1	S1	S1	S1	S1	S1	LogFoldChange	Zstatistic	fdr	FDRup	FDRdown
m.1126	148	2	3	2	2	2	1	2	2	2	2	2	4	3	5	2	3	0.273	0.2870	0.039566	0.002932	0.830972
m.11265	213	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	-0.443	-0.3978	0.976708	0.300123	0.992988
m.11298	283	1	1	1	0	1	0	2	0	0	1	2	0	0	0	1	0	-0.857	-0.8148	0.985134	0.541469	0.994121
m.113	378	14	41	29	33	17	16	37	27	37	23	30	40	25	37	24	27	2.132	2.4452	0.000000	0.000000	0.600519
m.11313	319	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.382	-0.3421	0.945865	0.251952	0.990285
m.1133	280	0	2	2	1	2	1	1	3	1	2	2	1	1	2	2	1	-0.354	-0.3406	0.944793	0.250658	0.990182
m.11340	155	2	0	3	1	2	3	2	2	1	1	2	1	2	2	1	2	-0.455	-0.4115	0.981945	0.311857	0.993345
m.11346	282	0	1	0	1	0	0	1	1	1	1	2	0	1	1	1	1	-0.545	-0.4884	0.998201	0.374868	0.993627
m.1135	538	3	2	8	4	3	4	3	4	5	5	9	4	4	5	5	7	0.716	0.5690	0.001398	0.000088	0.759318
m.11354	351	8	9	9	7	7	9	10	9	9	11	8	9	8	11	11	8	0.967	0.9876	0.000001	0.000000	0.684849
m.11405	546	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	-0.479	-0.4197	0.984689	0.318829	0.993507
m.1141	910	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	-0.868	-0.7362	0.986551	0.516963	0.991087
m.11430	456	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.655	-0.5568	0.999762	0.424489	0.992385
m.11436	297	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	-0.754	-0.6258	0.995307	0.466627	0.990969
m.11443	1087	2	1	0	2	2	1	2	0	1	2	0	2	2	2	2	0	-0.290	-0.2809	0.890703	0.200218	0.984633
m.1145	390	0	1	1	1	0	0	1	1	1	0	1	1	0	1	0	0	-0.624	-0.5602	0.999648	0.426760	0.992308
m.11458	213	2	4	4	2	2	1	3	5	3	2	3	3	3	1	3	3	0.156	0.1379	0.148631	0.012839	0.877167
m.11472	334	2	3	3	3	2	2	5	4	4	5	2	1	4	4	5	3	0.320	0.2893	0.038670	0.002860	0.830300
m.11482	410	1	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	-0.535	-0.5279	1.000000	0.404414	0.992995
m.1149	736	0	2	2	0	2	0	1	1	3	2	0	2	2	2	2	0	-0.267	-0.2576	0.863012	0.181448	0.981669
m.115	216	4	5	5	6	4	3	4	4	6	5	6	5	6	7	4	7	1.086	1.0568	0.000000	0.000000	0.675530
m.1152	2284	1	1	1	1	5	3	0	1	0	0	4	0	0	0	0	0	-0.412	-0.4182	0.984194	0.317557	0.993480
m.11523	224	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	-0.737	-0.6312	0.994864	0.469571	0.990886
m.11536	523	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	2	-0.353	-0.3208	0.929421	0.233660	0.988658
m.11543	385	5	2	4	3	6	5	4	4	4	4	6	5	7	5	5	6	0.465	0.4041	0.011249	0.000766	0.798599
m.11553	214	8	6	9	9	7	8	7	6	13	7	6	11	10	16	11	6	0.694	0.7229	0.000144	0.000009	0.728198
m.11561	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.825	-0.7578	0.985552	0.524544	0.991668
m.1157	147	2	1	2	2	2	2	2	1	2	2	2	3	3	3	3	2	-0.010	-0.0103	0.391507	0.043047	0.924370
m.11575	150	1	2	3	2	0	2	3	1	1	1	2	2	2	1	0	0	-0.444	-0.4468	0.991890	0.341509	0.993796
m.11603	537	0	2	2	2	0	0	2	1	1	1	2	2	0	1	1	2	-0.223	-0.2056	0.787310	0.142412	0.973388
m.1163	121	2	2	4	2	2	2	3	3	2	4	2	3	3	3	5	2	0.624	0.6216	0.000666	0.000041	0.748144
m.1164	164	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	-0.514	-0.4511	0.992790	0.345047	0.993810
m.11654	271	1	1	1	1	1	1	0	1	0	1	0	0	1	0	1	0	-0.657	-0.6057	0.996959	0.455217	0.991327
m.1168	430	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	-0.732	-0.7680	0.985215	0.527891	0.992012
m.11683	186	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-0.634	-0.5438	1.000000	0.415628	0.992670
m.11687	197	1	2	1	0	1	1	1	0	0	1	0	1	1	0	1	0	-0.525	-0.4900	0.998352	0.376108	0.993608
m.11700	147	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.654	-0.5424	1.000000	0.414657	0.992700
m.11724	829	2	2	4	5	3	4	1	1	1	3	1	1	3	3	4	1	0.123	0.1161	0.175391	0.015589	0.884202
m.11725	118	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	-0.875	-0.8301	0.985681	0.545317	0.994966
m.1173	565	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	-0.768	-0.6756	0.990973	0.491851	0.990497
m.11744	384	1	2	2	3	2	1	2	1	2	3	0	2	1	2	1	0	-0.254	-0.2434	0.844237	0.170364	0.979636
m.11754	237	3	3	4	2	4	3	2	3	2	2	2	4	3	4	2	3	0.222	0.2064	0.084234	0.006728	0.855396
m.11767	390	2	1	2	1	0	0	0	1	0	1	0	1	0	0	0	1	-0.661	-0.6373	0.994335	0.472835	0.990801
m.1177	593	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	-0.807	-0.6824	0.990382	0.494966	0.990492
m.11786	188	0	0	1	0	0	0	0	1	0	1	2	0	1	1	1	1	-0.537	-0.5302	1.000000	0.406061	0.992950
m.11819	281	3	5	4	7	3	3	6	4	3	3	3	3	3	6	4	3	0.834	1.0170	0.000001	0.000000	0.680791
m.11820	1432	0	1	2	1	0	0	0	1	0	1	0	0	1	1	1	0	-0.429	-0.4188	0.984395	0.318066	0.993491
m.11826	566	0	2	1	1	0	0	1	1	0	1	1	0	0	1	2	1	-0.482	-0.4268	0.986830	0.324829	0.993618
m.11828	346	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	-0.645	-0.6400	0.994099	0.474259	0.990766
m.11831	212	6	4	4	1	7	7	3	4	2	4	3	2	5	3	4	2	0.643	0.6457	0.000468	0.000029	0.743217
m.11832	897	6	7	8	9	6	8	10	6	6	11	5	8	9	9	6	6	0.771	0.8656	0.000014	0.000001	0.703293
m.11842	252	1	0	1	0	0	1	0	2	0	0	0	1	0	0	0	1	-0.551	-0.5451	1.000000	0.416527	0.992642
m.11872	568	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	-0.660	-0.6252	0.995366	0.466297	0.990979
m.11876	224	0	1	0	1	0	0	0	0	2	1	1	0	1	1	0	1	-0.368	-0.3573	0.955935	0.265100	0.991237
m.1188	293	3	4	3	4	3	2	3	3	3	5	5	2	3	5	5	6	0.958	1.1095	0.000000	0.000000	0.668966
m.11898	748	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	-0.655	-0.6719	0.991289	0.490124	0.990506
m.11907	647	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.812	-0.6860	0.990077	0.496583	0.990496
m.11921	315	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.782	-0.6953	0.989328	0.500663	0.990530
m.11924	283	0	0	1	0	0	0	0	2	0	1	0	0	1	1	0	0	-0.753	-0.7290	0.986954	0.514282	0.990938
m.11933	202	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	-0.680	-0.5935	0.997849	0.447942	0.991575
m.11971	202	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	-0.786	-0.7228	0.987352	0.511910	0.990827
m.11993	245	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.722	-0.7079	0.988360	0.505965	0.990628
m.11995	326	5	3	3	2	4	5	3	1	4	3	5	3	1	4	3	2	0.315	0.3010	0.034379	0.002519	0.826899
m.12002	156	1	1	2	2	2	0	1	0	0	3	2	2	2	1	0	2	-0.297	-0.2702	0.878464	0.191515	0.983329
m.12007	433	3	5	7	3	3	2	3	7	7	8	6	5	4	4	5	7	1.197	0.9214	0.000005	0.000000	0.694534
m.12009	511	0	2	1	3	1	0	3	1	2	2	2	1	3	3	2	2	0.269	0.2579	0.052528	0.003992	0.839607
m.12028	524	0	1	0	0	1	0	2	0	0	0	0	0	1	0	0	0	-1.042	-0.9637	0.999978	0.568990	1.000000
m.12035	180	2	1	1	1	2	1	2	2	1	2	1	0	2	0	1	1	-0.533	-0.5017	0.999234	0.385071	0.993453
m.1204	135	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	-0.660	-0.5684	0.999310	0.432154	0.992124
m.12048	569	6	8	8	10	6	6	7	3	8	9	7	8	10	7	11	6	1.473	1.2643	0.000000	0.000000	0.652150
m.12051	247	1	1	2	1	2	1	1	0	1	2	1	1	2	2	1	0	-0.554	-0.5189	0.999975	0.397887	0.993166
m.12056	309	0	1	2	1	0	1	1	0	2	1	3	2	1	1	1	1	-0.371	-0.3627	0.959201	0.269779	0.991535
m.12069	191	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.549	-0.5136	0.999804	0.393985	0.993261
m.12097	491	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	-0.589	-0.5220	1.000000	0.400150	0.993108
m.12124	155	2	1	1	1	2	1	0	1	1	3	0	0	2	1	1	0	-0.244	-0.2326	0.829000	0.162136	0.977975
m.12129	447	36	73	57	72	30	38	71	53	55	61	50	55	54	47	64	45	2.431	5.1281	0.000000	0.000000	0.584855
m.1215	381	2	5	2	6	3	1	3	2	3	3	3	3	5	2	2	2	0.534	0.5027	0.003378	0.000218	0.774288
m.12175	403	3	3	3	3	1	2	2	2	3	1	3	2	3	1	3	1	-0.189	-0.1636	0.712955	0.114417	0.965053
m.12185	535	2	2	1	2	2	2	2	1	2	2	0	4	2	3	3	2	0.170	0.1514	0.133647	0.011353	0.872827
m.12229	471	11	20	14	18	13	13	20	15	20	19	15	19	18	20	19	17	1.685	2.4342	0.000000	0.000000	0.600714
m.1223	739	1	2	3	2	1	2	1	0	2	3	2	1	4	0	2	1	-0.133	-0.1342	0.655073	0.096945	0.958397
m.12238	232	11	16	15	14	12	12	15	12	14	14	14	16	13	15	13	13	2.511	2.8793	0.000000	0.000000	0.594519
m.12306	644	0	1	1	2	0	1	1	2	1	1	1	1	1	0	0	0	-0.508	-0.4074	0.980465	0.308355	0.993249
m.12326	225	1	1	0	1	0	0	0	0	1	1	0	1	1	1	2	0	-0.662	-0.5024	0.999280	0.385601	0.993442
m.12334	1458	2	3	2	1	2	3	3	1	2	4	2	2	3	2	3	1	0.260	0.2486	0.057363	0.004397	0.842412
m.1235	511	2	2	2	0	4	3	2	1	0	1	1	1	2	2	3	2	-0.234	-0.2267	0.820320	0.157719	0.977025
m.12364	195	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	-0.477	-0.4293	0.987558	0.326932	0.993651
m.1238	450	1	3	2	2	3	3	2	2	1	2	1	2	2	1	2	0	0.164	0.1506	0.134501	0.011436	0.873084
m.1240	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.649	-0.6009	0.997316	0.452386	0.991422
m.12417	694	3	3	3	1	2	2	4	2	2	4	3	2	4	2	4	3	0.526	0.4788	0.004576	0.000299	0.779947
m.1245	204	13	16	17	16	13	14	13	15	13	18	14	13	15	12	15	12	1.882	1.5255	0.000000	0.000000	0.631384
m.1249	263	3	10	8	10	2	1	11	6	8	5	5	6	4	8	5	6	0.498	0.4337	0.007948	0.000532	0.791027
m.12517	148	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	-0.506	-0.4413	0.990647	0.336958	0.993766
m.12521	914	10	10	12	10	9	9	9	8	10	9	15	11	11	11	10	7	1.441	1.3592	0.000000	0.000000	0.643544
m.12550	201	1	2	2	1	2	2	1	1	3	2	3	2	2	2	2	3	0.412	0.3971	0.012191	0.000834	0.800425
m.12589	426	0	0	0	0	0	2	0	2	0	1	0	0	0	0	1	0	-0.695	-0.5801	0.998702	0.439650	0.991864
m.12606	311	0	0	0	1	0	0	0	1	2	1	3	1	2	1	1	2	-0.304	-0.2663	0.873802	0.188377	0.982830
m.1261	196	1	3	2	3	1	1	3	1	1	1	2	1	1	2	0	2	-0.653	-0.5704	0.999213	0.433452	0.992080
m.12642	195	16	20	22	22	16	16	23	17	26	19	20	22	18	25	22	20	2.628	2.7054	0.000000	0.000000	0.596552
m.12643	211	1	1	1	0	1	0	1	0	0	1	0	0	1	1	2	0	-0.467	-0.4181	0.984161	0.317472	0.993478
m.12644	250	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.657	-0.6153	0.996203	0.460756	0.991147
m.12647	377	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	-0.531	-0.4579	0.994081	0.350604	0.993816
m.12648	162	1	1	0	1	1	1	1	0	1	0	0	1	1	2	1	1	-0.413	-0.3621	0.958843	0.269259	0.991502
m.1265	381	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	-0.857	-0.8283	0.985600	0.544879	0.994864
m.12659	176	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	-0.663	-0.5356	1.000000	0.409896	0.992841
m.12662	470	5	6	8	6	5	6	4	7	7	6	5	9	5	7	8	9	0.834	0.9197	0.000005	0.000000	0.694792
