Protein	Len	S0	S0	S0	S0	S0	S0	S0	S0	S1	S1	S1	S1	S1	S1	S1	S1	LogFoldChange	Zstatistic	fdr	FDRup	FDRdown
m.10603	487	1	2	1	2	2	2	1	1	2	1	0	1	2	1	1	0	-0.446	-0.3901	0.987983	0.331909	0.99932
m.10605	698	2	1	1	1	1	2	1	1	1	2	2	2	1	1	4	0	-0.357	-0.3038	0.945901	0.251937	0.995976
m.10621	420	1	2	0	3	1	1	3	2	1	2	4	1	2	2	1	5	-0.052	-0.0449	0.514692	0.067257	0.955518
m.10638	702	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	1	-0.795	-0.686	1	0.542803	1
m.10645	257	1	1	1	0	0	0	1	0	0	1	0	0	0	0	2	0	-0.805	-0.7164	1	0.556071	1
m.1069	424	4	5	7	5	5	5	5	3	5	7	5	4	3	3	5	4	0.888	0.833	0.000043	0.000003	0.746481
m.10693	451	1	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	-0.422	-0.3627	0.978895	0.306576	0.998651
m.107	99	4	8	6	7	5	5	9	8	8	7	8	8	8	8	7	8	1.348	1.1408	0	0	0.706844
m.10713	218	10	10	10	9	9	11	7	9	13	10	12	11	10	11	10	11	0.634	0.4399	0.009895	0.000755	0.822008
m.10714	429	6	5	8	4	4	4	5	7	4	6	5	2	3	4	6	6	0.975	0.8912	0.000017	0.000001	0.737693
m.10723	443	0	1	1	0	0	0	0	2	0	0	0	1	1	0	1	2	-0.413	-0.3488	0.97291	0.293642	0.998185
m.10726	1630	4	3	4	4	3	3	3	3	4	6	2	2	8	5	6	3	0.51	0.5389	0.003028	0.000219	0.799946
m.1073	371	2	3	1	1	1	2	3	3	1	1	2	2	2	1	2	0	-0.392	-0.3393	0.968221	0.284797	0.997812
m.1074	292	1	2	2	2	1	2	2	1	3	3	3	3	2	3	3	1	0.179	0.1845	0.119538	0.01109	0.890678
m.10744	282	3	4	5	3	5	4	3	3	6	3	5	5	4	7	3	6	0.474	0.3936	0.016492	0.001297	0.833221
m.10807	572	15	16	21	18	16	13	17	19	19	16	17	11	19	21	20	15	2.042	3.0802	0	0	0.643905
m.10812	189	2	1	0	0	1	1	2	0	2	0	1	2	1	1	0	1	-0.702	-0.665	1	0.53275	1
m.10816	192	3	2	2	2	2	2	2	1	3	4	2	2	3	3	3	2	0.427	0.4149	0.013081	0.001014	0.827989
m.10818	372	2	0	1	1	3	1	0	2	0	2	0	1	2	1	1	1	-0.538	-0.4599	0.998958	0.39385	0.999967
m.10831	206	0	0	0	0	0	1	0	1	1	1	3	1	1	1	1	3	-0.49	-0.3986	0.990152	0.339689	0.999469
m.10852	208	0	1	0	1	1	0	1	1	1	3	0	1	1	0	1	1	-0.761	-0.623	1	0.510366	1
m.10862	241	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	-0.96	-0.8752	1	0.604075	1
m.10878	258	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	-0.997	-0.919	0.999993	0.612217	1
m.10883	471	12	10	9	11	11	10	10	9	16	14	10	13	13	15	14	11	1.753	1.3784	0	0	0.686621
m.1089	117	8	9	8	9	9	9	10	8	9	7	7	6	8	8	8	8	1.249	1.104	0	0	0.710713
m.10893	298	10	19	14	20	12	10	17	14	18	14	8	16	12	19	11	5	2.255	2.7345	0	0	0.646418
m.10901	228	0	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	-0.901	-0.7261	1	0.559997	1
m.10905	398	2	4	3	1	0	1	2	3	5	5	3	1	4	2	3	2	0.319	0.2577	0.063542	0.005525	0.869481
m.10909	251	1	0	2	0	1	1	0	2	0	0	0	0	1	0	0	0	-0.766	-0.6484	1	0.524272	1
m.10914	217	5	4	3	4	4	4	2	2	4	4	3	3	2	4	3	5	0.404	0.3811	0.018846	0.001494	0.836351
m.10928	723	2	1	2	3	3	3	1	2	2	2	2	1	1	2	2	1	-0.336	-0.3196	0.956819	0.266502	0.996884
m.10938	346	1	2	3	3	1	1	2	4	5	3	2	5	4	6	3	3	0.644	0.5744	0.00192	0.000137	0.792615
m.10939	1302	2	2	1	2	1	1	3	1	1	2	2	3	2	2	2	2	-0.07	-0.0699	0.571132	0.079004	0.961491
m.10942	329	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	-0.54	-0.4523	0.998389	0.387367	0.999946
m.10944	532	0	1	0	0	0	0	1	2	0	0	0	0	1	1	1	0	-0.964	-0.9175	0.999995	0.611967	1
m.10974	566	3	3	2	4	3	3	3	1	3	3	2	3	5	3	3	2	0.158	0.1331	0.178399	0.017466	0.905879
m.110	1165	27	46	47	53	25	29	48	39	35	44	38	38	45	39	40	35	2.127	3.5506	0	0	0.641083
m.1100	513	3	2	4	1	3	1	3	2	3	2	3	3	2	4	2	4	0.213	0.1907	0.113618	0.010478	0.888854
m.11021	150	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	-0.791	-0.723	1	0.558758	1
m.1103	1107	0	2	0	1	0	0	1	0	1	0	0	0	0	1	0	0	-0.389	-0.3727	0.982607	0.315856	0.998931
m.11035	299	2	2	2	3	2	2	3	2	1	1	0	3	1	0	2	0	-0.186	-0.161	0.761543	0.133698	0.979785
m.11041	876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.759	-0.5765	0.999867	0.481915	0.999988
m.11045	121	1	2	1	2	1	1	2	1	2	1	0	2	0	3	1	1	-0.426	-0.4448	0.997715	0.380896	0.999918
m.11092	1439	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.698	-0.6398	1	0.519691	1
m.11100	1144	6	9	10	9	7	8	8	6	9	12	6	6	6	7	13	7	0.48	0.3853	0.018023	0.001425	0.835294
m.11107	150	6	9	8	7	9	6	9	7	9	7	8	8	8	7	8	6	1.211	1.2779	0	0	0.69425
m.11115	300	0	0	2	0	1	2	0	0	0	0	3	0	1	0	0	2	0.042	0.0387	0.334871	0.037303	0.933331
m.11137	540	0	1	0	1	0	1	1	2	1	1	1	0	0	0	0	1	-0.725	-0.6306	1	0.514647	1
m.11149	227	6	6	4	5	4	7	8	4	8	6	5	7	5	7	6	6	0.905	0.9527	0.000006	0	0.729062
m.11152	593	1	0	1	0	1	1	0	1	0	1	0	1	0	0	2	1	-0.677	-0.5877	0.99985	0.489125	0.999993
m.1116	106	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.656	-0.6105	1	0.503101	1
m.11167	387	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.639	-0.6041	0.999953	0.499273	1
m.1126	148	2	3	2	2	2	1	2	2	2	2	2	4	3	5	2	3	0.285	0.2696	0.056971	0.004906	0.866124
m.11265	213	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	-0.533	-0.4725	0.99965	0.404425	0.999984
m.11298	283	1	1	1	0	1	0	2	0	0	1	2	0	0	0	1	0	-0.436	-0.3903	0.988038	0.332092	0.999324
m.113	378	14	41	29	33	17	16	37	27	37	23	30	40	25	37	24	27	0.75	1.351	0	0	0.68858
m.11313	319	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.785	-0.6819	1	0.540899	1
m.1133	280	0	2	2	1	2	1	1	3	1	2	2	1	1	2	2	1	-0.434	-0.3606	0.978056	0.304623	0.998586
m.11340	155	2	0	3	1	2	3	2	2	1	1	2	1	2	2	1	2	-0.215	-0.1818	0.798362	0.148755	0.983106
m.11346	282	0	1	0	1	0	0	1	1	1	1	2	0	1	1	1	1	-0.707	-0.6195	1	0.50836	1
m.1135	538	3	2	8	4	3	4	3	4	5	5	9	4	4	5	5	7	0.709	0.6197	0.001047	0.000074	0.783652
m.11354	351	8	9	9	7	7	9	10	9	9	11	8	9	8	11	11	8	1.432	1.0579	0.000001	0	0.715877
m.11405	546	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	-0.601	-0.5384	1	0.455692	0.999986
m.1141	910	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	-0.741	-0.5902	0.999855	0.490703	0.999995
m.11430	456	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.908	-0.7736	1	0.577194	1
m.11436	297	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	-0.783	-0.628	1	0.513194	1
m.11443	1087	2	1	0	2	2	1	2	0	1	2	0	2	2	2	2	0	-0.14	-0.1139	0.667736	0.103079	0.971055
m.1145	390	0	1	1	1	0	0	1	1	1	0	1	1	0	1	0	0	-0.719	-0.5963	0.999885	0.494507	0.999997
m.11458	213	2	4	4	2	2	1	3	5	3	2	3	3	3	1	3	3	0.28	0.2134	0.093921	0.008482	0.882214
m.11472	334	2	3	3	3	2	2	5	4	4	5	2	1	4	4	5	3	0.319	0.277	0.053185	0.004553	0.864052
m.11482	410	1	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	-0.943	-0.7899	1	0.582364	1
m.1149	736	0	2	2	0	2	0	1	1	3	2	0	2	2	2	2	0	0.11	0.107	0.215386	0.021756	0.91359
m.115	216	4	5	5	6	4	3	4	4	6	5	6	5	6	7	4	7	1.123	1.121	0	0	0.708898
m.1152	2284	1	1	1	1	5	3	0	1	0	0	4	0	0	0	0	0	-0.235	-0.2102	0.843299	0.170713	0.9871
m.11523	224	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	-0.969	-0.916	0.999994	0.611715	1
m.11536	523	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	2	-0.553	-0.4877	1	0.416873	0.999988
m.11543	385	5	2	4	3	6	5	4	4	4	4	6	5	7	5	5	6	1.122	1.0944	0	0	0.711758
m.11553	214	8	6	9	9	7	8	7	6	13	7	6	11	10	16	11	6	1.716	2.2168	0	0	0.653364
m.11561	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.484	-0.4357	0.996713	0.372953	0.999869
m.1157	147	2	1	2	2	2	2	2	1	2	2	2	3	3	3	3	2	0.427	0.4253	0.011658	0.000898	0.82548
m.11575	150	1	2	3	2	0	2	3	1	1	1	2	2	2	1	0	0	-0.416	-0.3442	0.970702	0.289358	0.998011
m.11603	537	0	2	2	2	0	0	2	1	1	1	2	2	0	1	1	2	-0.491	-0.4158	0.993735	0.355269	0.999701
m.1163	121	2	2	4	2	2	2	3	3	2	4	2	3	3	3	5	2	0.867	0.8061	0.000066	0.000005	0.750741
m.1164	164	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	-0.56	-0.5003	1	0.42692	0.999987
m.11654	271	1	1	1	1	1	1	0	1	0	1	0	0	1	0	1	0	-0.947	-0.8513	1	0.598829	1
m.1168	430	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	-1.038	-0.998	0.999989	0.622862	1
m.11683	186	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-0.456	-0.3857	0.986744	0.327864	0.999233
m.11687	197	1	2	1	0	1	1	1	0	0	1	0	1	1	0	1	0	-0.845	-0.768	1	0.575335	1
m.11700	147	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.58	-0.5046	1	0.43029	0.999987
m.11724	829	2	2	4	5	3	4	1	1	1	3	1	1	3	3	4	1	-0.167	-0.1396	0.72054	0.119173	0.976022
m.11725	118	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	-0.759	-0.6306	1	0.514647	1
m.1173	565	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	-0.906	-0.8382	1	0.595691	1
m.11744	384	1	2	2	3	2	1	2	1	2	3	0	2	1	2	1	0	-0.008	-0.0077	0.431745	0.052243	0.946014
m.11754	237	3	3	4	2	4	3	2	3	2	2	2	4	3	4	2	3	0.094	0.0919	0.239031	0.024619	0.918025
m.11767	390	2	1	2	1	0	0	0	1	0	1	0	1	0	0	0	1	-0.769	-0.6799	1	0.539959	1
m.1177	593	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	-0.856	-0.7203	1	0.557667	1
m.11786	188	0	0	1	0	0	0	0	1	0	1	2	0	1	1	1	1	-0.848	-0.782	1	0.579903	1
m.11819	281	3	5	4	7	3	3	6	4	3	3	3	3	3	6	4	3	0.254	0.2673	0.058193	0.005021	0.866771
m.11820	1432	0	1	2	1	0	0	0	1	0	1	0	0	1	1	1	0	-0.845	-0.7591	1	0.57229	1
m.11826	566	0	2	1	1	0	0	1	1	0	1	1	0	0	1	2	1	-0.743	-0.6784	1	0.53925	1
m.11828	346	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	-0.686	-0.5537	1	0.466535	0.999985
m.11831	212	6	4	4	1	7	7	3	4	2	4	3	2	5	3	4	2	0.176	0.177	0.127025	0.011871	0.892888
m.11832	897	6	7	8	9	6	8	10	6	6	11	5	8	9	9	6	6	1.177	1.2573	0	0	0.695971
m.11842	252	1	0	1	0	0	1	0	2	0	0	0	1	0	0	0	1	-0.716	-0.5896	0.999849	0.490326	0.999994
m.11872	568	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	-0.942	-0.7342	1	0.563164	1
m.11876	224	0	1	0	1	0	0	0	0	2	1	1	0	1	1	0	1	-0.676	-0.5819	0.999853	0.48542	0.999991
m.1188	293	3	4	3	4	3	2	3	3	3	5	5	2	3	5	5	6	0.607	0.4871	0.005717	0.000425	0.811177
m.11898	748	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	-0.686	-0.6343	1	0.516694	1
m.11907	647	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.56	-0.4625	0.999127	0.39605	0.999972
m.11921	315	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.984	-0.9437	0.999999	0.616055	1
m.11924	283	0	0	1	0	0	0	0	2	0	1	0	0	1	1	0	0	-0.645	-0.5285	1	0.448455	0.999986
m.11933	202	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	-0.526	-0.5167	1	0.439608	0.999987
m.11971	202	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	-0.742	-0.5951	0.999865	0.493764	0.999997
m.11993	245	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.739	-0.6572	1	0.528826	1
m.11995	326	5	3	3	2	4	5	3	1	4	3	5	3	1	4	3	2	0.184	0.1674	0.13714	0.012941	0.895724
m.12002	156	1	1	2	2	2	0	1	0	0	3	2	2	2	1	0	2	-0.148	-0.1353	0.711957	0.116377	0.975225
m.12007	433	3	5	7	3	3	2	3	7	7	8	6	5	4	4	5	7	1.153	1.0738	0.000001	0	0.714055
m.12009	511	0	2	1	3	1	0	3	1	2	2	2	1	3	3	2	2	-0.25	-0.2252	0.864422	0.182907	0.988957
m.12028	524	0	1	0	0	1	0	2	0	0	0	0	0	1	0	0	0	-0.736	-0.7014	1	0.54971	1
m.12035	180	2	1	1	1	2	1	2	2	1	2	1	0	2	0	1	1	-0.63	-0.5885	0.999845	0.489631	0.999994
m.1204	135	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	-0.741	-0.6204	1	0.508878	1
m.12048	569	6	8	8	10	6	6	7	3	8	9	7	8	10	7	11	6	1.435	1.2657	0	0	0.695262
m.12051	247	1	1	2	1	2	1	1	0	1	2	1	1	2	2	1	0	0.086	0.0733	0.270386	0.02857	0.923443
m.12056	309	0	1	2	1	0	1	1	0	2	1	3	2	1	1	1	1	-0.267	-0.2512	0.896701	0.2049	0.991771
m.12069	191	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.602	-0.5188	1	0.4412	0.999987
m.12097	491	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	-0.757	-0.6857	1	0.542665	1
m.12124	155	2	1	1	1	2	1	0	1	1	3	0	0	2	1	1	0	-0.284	-0.2281	0.868294	0.185309	0.989296
m.12129	447	36	73	57	72	30	38	71	53	55	61	50	55	54	47	64	45	2.643	2.8196	0	0	0.645717
m.1215	381	2	5	2	6	3	1	3	2	3	3	3	3	5	2	2	2	0.039	0.0369	0.33843	0.037811	0.933837
m.12175	403	3	3	3	3	1	2	2	2	3	1	3	2	3	1	3	1	-0.134	-0.1241	0.68911	0.109288	0.973084
m.12185	535	2	2	1	2	2	2	2	1	2	2	0	4	2	3	3	2	0.108	0.1034	0.220875	0.022411	0.91465
m.12229	471	11	20	14	18	13	13	20	15	20	19	15	19	18	20	19	17	2.016	1.5027	0	0	0.678747
m.1223	739	1	2	3	2	1	2	1	0	2	3	2	1	4	0	2	1	-0.032	-0.0259	0.471985	0.059231	0.950749
m.12238	232	11	16	15	14	12	12	15	12	14	14	14	16	13	15	13	13	1.547	2.1458	0	0	0.654881
m.12306	644	0	1	1	2	0	1	1	2	1	1	1	1	1	0	0	0	-0.759	-0.6577	1	0.52908	1
m.12326	225	1	1	0	1	0	0	0	0	1	1	0	1	1	1	2	0	-0.509	-0.549	1	0.463249	0.999985
m.12334	1458	2	3	2	1	2	3	3	1	2	4	2	2	3	2	3	1	0.08	0.0754	0.266725	0.028099	0.922834
m.1235	511	2	2	2	0	4	3	2	1	0	1	1	1	2	2	3	2	-0.143	-0.1285	0.698162	0.112039	0.973936
m.12364	195	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	-0.563	-0.4246	0.995193	0.363139	0.999787
m.1238	450	1	3	2	2	3	3	2	2	1	2	1	2	2	1	2	0	-0.308	-0.2445	0.888904	0.199137	0.991094
m.1240	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.729	-0.5859	0.999837	0.487982	0.999993
m.12417	694	3	3	3	1	2	2	4	2	2	4	3	2	4	2	4	3	0.399	0.3581	0.023969	0.001931	0.842223
m.1245	204	13	16	17	16	13	14	13	15	13	18	14	13	15	12	15	12	0.542	0.4289	0.011199	0.00086	0.824618
m.1249	263	3	10	8	10	2	1	11	6	8	5	5	6	4	8	5	6	1.236	1.051	0.000001	0	0.716682
m.12517	148	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	-1.084	-0.9577	0.999989	0.618014	1
m.12521	914	10	10	12	10	9	9	9	8	10	9	15	11	11	11	10	7	1.748	1.7802	0	0	0.665751
m.12550	201	1	2	2	1	2	2	1	1	3	2	3	2	2	2	2	3	0.559	0.5166	0.003998	0.000293	0.8047
m.12589	426	0	0	0	0	0	2	0	2	0	1	0	0	0	0	1	0	-0.573	-0.5256	1	0.446303	0.999986
m.12606	311	0	0	0	1	0	0	0	1	2	1	3	1	2	1	1	2	-0.068	-0.0678	0.566405	0.077965	0.961003
m.1261	196	1	3	2	3	1	1	3	1	1	1	2	1	1	2	0	2	-0.786	-0.6802	1	0.540101	1
m.12642	195	16	20	22	22	16	16	23	17	26	19	20	22	18	25	22	20	2.117	1.7334	0	0	0.667593
m.12643	211	1	1	1	0	1	0	1	0	0	1	0	0	1	1	2	0	-0.597	-0.5349	1	0.453153	0.999986
m.12644	250	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.592	-0.5303	1	0.449783	0.999986
m.12647	377	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	-0.842	-0.7391	1	0.565032	1
m.12648	162	1	1	0	1	1	1	1	0	1	0	0	1	1	2	1	1	-0.525	-0.4646	0.999251	0.397821	0.999975
m.1265	381	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	-0.518	-0.483	1	0.413062	0.999988
m.12659	176	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	-0.5	-0.4648	0.999263	0.397989	0.999976
m.12662	470	5	6	8	6	5	6	4	7	7	6	5	9	5	7	8	9	0.642	0.6144	0.001126	0.000079	0.784679
m.12676	293	1	1	1	0	0	0	1	1	1	0	0	0	0	0	1	0	-0.719	-0.6373	1	0.518335	1
m.12686	459	2	1	1	1	1	0	2	3	0	1	0	0	2	1	1	1	-0.492	-0.3785	0.984546	0.321223	0.999074
m.12693	1749	10	6	14	6	5	8	5	8	8	9	8	6	8	6	9	6	1.103	1.0836	0.000001	0	0.712953
m.12695	530	0	1	1	1	0	0	1	0	1	0	1	0	1	1	0	0	-0.775	-0.6794	1	0.539723	1
m.12698	142	3	5	3	4	1	3	4	3	6	3	6	6	4	5	4	1	0.244	0.2045	0.101283	0.009221	0.88481
m.12699	199	4	5	5	7	5	6	6	4	6	7	5	5	5	8	5	7	0.876	0.907	0.000013	0.000001	0.735411
m.12709	550	8	10	10	9	6	9	11	6	9	11	9	7	7	10	8	6	1.149	1.3984	0	0	0.685246
m.12711	510	1	2	2	3	1	1	3	2	2	0	2	3	1	3	1	0	-0.285	-0.2541	0.899965	0.207413	0.992053
m.12713	362	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.555	-0.5235	1	0.444735	0.999986
m.12716	167	2	1	1	2	1	1	1	1	3	2	2	2	1	2	1	2	-0.02	-0.018	0.454409	0.056116	0.948713
