Protein	Len	S0	S0	S0	S1	S1	S1	LogFoldChange	Zstatistic	fdr	FDRup	FDRdown
m.1069	424	5	7	7	5	5	4	-0.210	-0.3806	0.999997	0.808768	0.728242
m.10693	451	2	4	3	2	0	1	-0.459	-0.5718	0.992883	0.863228	0.583146
m.107	99	6	7	6	6	4	7	0.063	0.1156	0.768096	0.290479	0.828358
m.10713	218	11	9	14	10	8	10	-0.245	-0.6254	0.975635	0.870878	0.525679
m.10714	429	6	6	5	4	4	5	-0.106	-0.1725	1.000000	0.667766	0.801576
m.10723	443	2	0	0	0	0	0	-0.446	-0.4326	1.000000	0.828546	0.697895
m.10726	1630	3	2	3	2	2	2	-0.379	-0.4800	1.000000	0.842979	0.664606
m.1073	371	2	1	2	2	3	4	0.022	0.0256	0.920319	0.414828	0.827346
m.1074	292	3	3	2	2	2	1	-0.204	-0.2342	1.000000	0.722310	0.786208
m.10744	282	4	5	4	4	3	3	-0.041	-0.0656	0.993924	0.542790	0.819601
m.10807	572	16	15	15	15	17	16	0.109	0.3004	0.345766	0.107285	0.815650
m.10812	189	2	1	1	2	1	2	0.190	0.2186	0.527780	0.173617	0.823031
m.10816	192	2	3	4	1	1	1	-1.241	-1.4232	0.019681	0.798759	0.004038
m.10818	372	2	2	2	0	0	1	-0.756	-0.8084	0.783307	0.875805	0.303720
m.10831	206	2	1	2	0	0	0	-0.760	-0.7317	0.892428	0.877533	0.397636
m.10852	208	2	1	1	0	1	1	-0.301	-0.2805	1.000000	0.755514	0.771571
m.10862	241	1	0	0	0	0	0	-0.422	-0.4071	1.000000	0.819415	0.713534
m.10883	471	11	10	8	8	5	6	0.057	0.1173	0.764509	0.288281	0.828320
m.1089	117	9	9	9	7	8	7	-0.170	-0.3345	1.000000	0.787041	0.750416
m.10893	298	10	13	12	12	13	13	0.095	0.2364	0.485578	0.157162	0.821597
m.10901	228	0	1	2	0	1	0	-0.801	-0.7981	0.800256	0.876325	0.316008
m.10905	398	6	5	5	0	1	1	-1.350	-1.6038	0.003102	0.786147	0.000538
m.10909	251	1	1	1	0	0	0	-0.494	-0.4574	1.000000	0.836481	0.681188
m.10914	217	6	3	7	4	4	4	-0.463	-0.7898	0.813430	0.876682	0.326012
m.10928	723	5	1	5	2	2	2	-0.770	-0.9651	0.477242	0.859603	0.145072
m.10938	346	5	2	3	2	2	3	-0.467	-0.5718	0.992883	0.863228	0.583146
m.10939	1302	1	2	1	1	2	2	-0.267	-0.2439	1.000000	0.729783	0.783381
m.10944	532	0	0	0	1	0	0	-0.202	-0.1956	1.000000	0.689652	0.796319
m.10974	566	4	4	4	2	2	1	-0.652	-0.8960	0.618353	0.868366	0.207346
m.110	1165	43	42	40	45	41	38	0.124	0.5484	0.061597	0.017652	0.791092
m.1100	513	2	3	2	1	1	1	-0.694	-0.6829	0.940019	0.875851	0.457895
m.1103	1107	4	4	5	0	0	0	-1.333	-1.4754	0.011942	0.794442	0.002342
m.11035	299	3	3	3	3	2	1	-0.056	-0.0734	0.997071	0.553132	0.818601
m.11045	121	3	3	2	0	1	2	-0.626	-0.6737	0.947123	0.875276	0.469055
m.11100	1144	8	9	7	6	4	5	-0.120	-0.2274	1.000000	0.716899	0.788118
m.11107	150	8	8	7	9	8	10	0.311	0.6376	0.029661	0.008081	0.784521
m.11115	300	0	0	0	0	0	1	-0.366	-0.3519	1.000000	0.795755	0.742527
m.11137	540	1	0	0	1	1	1	-0.455	-0.4323	1.000000	0.828444	0.698087
m.11149	227	6	6	7	7	8	6	0.063	0.1239	0.750396	0.279820	0.828156
m.11152	593	0	1	0	0	0	0	-0.485	-0.4902	1.000000	0.845700	0.656681
m.1116	106	0	1	1	0	0	1	-0.354	-0.3411	1.000000	0.790423	0.747490
m.1126	148	1	1	2	1	1	1	-0.807	-0.8143	0.773314	0.875471	0.296751
m.11265	213	1	1	1	1	2	1	-0.227	-0.2254	1.000000	0.715281	0.788669
m.11298	283	0	2	0	0	0	0	-0.374	-0.3846	0.999996	0.810455	0.726118
m.113	378	30	10	30	24	22	23	-0.200	-0.7551	0.863490	0.877548	0.368571
m.11313	319	0	0	0	0	1	0	-0.378	-0.3863	0.999997	0.811164	0.725206
m.1133	280	2	1	2	0	2	1	-0.707	-0.7337	0.890109	0.877554	0.395148
m.11340	155	1	1	2	2	2	2	-0.032	-0.0388	0.979793	0.506273	0.822623
m.11346	282	1	0	0	0	0	0	-0.229	-0.2234	1.000000	0.713650	0.789215
m.1135	538	8	9	6	5	3	4	-0.116	-0.2002	1.000000	0.693797	0.795205
m.11354	351	9	10	8	6	9	9	-0.092	-0.1776	1.000000	0.672754	0.800463
m.11405	546	0	1	1	0	0	0	-0.503	-0.4997	1.000000	0.848123	0.649047
m.11443	1087	0	0	1	0	0	0	-0.394	-0.3774	1.000000	0.807396	0.729917
m.1145	390	1	1	1	0	0	0	-0.377	-0.3869	0.999994	0.811412	0.724882
m.11458	213	3	4	2	3	2	2	0.289	0.3596	0.240837	0.073039	0.809523
m.11472	334	4	2	3	3	3	1	-0.020	-0.0283	0.972710	0.491622	0.823635
m.11482	410	0	1	1	0	0	0	-0.539	-0.5393	0.997966	0.857126	0.614570
m.1149	736	2	2	2	2	0	2	-0.094	-0.1088	1.000000	0.597893	0.813441
m.115	216	6	8	7	5	5	4	-0.259	-0.4578	1.000000	0.836602	0.680906
m.1152	2284	0	2	0	0	1	0	-0.407	-0.3860	0.999999	0.811039	0.725367
m.11536	523	1	1	1	0	0	0	-0.347	-0.3352	1.000000	0.787404	0.750110
m.11543	385	7	8	8	5	7	6	-0.373	-0.7293	0.895169	0.877503	0.400620
m.11553	214	8	10	10	5	3	3	-0.657	-1.3003	0.057605	0.811448	0.012987
m.11561	392	1	1	0	0	0	0	-0.415	-0.4203	1.000000	0.824271	0.705627
m.1157	147	3	3	3	2	2	2	-0.263	-0.3280	1.000000	0.783615	0.753222
m.11575	150	2	1	2	1	0	0	-0.609	-0.5981	0.986031	0.867351	0.555768
m.11603	537	4	3	2	0	0	0	-0.786	-0.8083	0.783474	0.875811	0.303838
m.1163	121	4	4	2	4	4	4	0.588	0.7688	0.009073	0.002201	0.777670
m.1164	164	0	1	1	1	1	1	-0.440	-0.4383	1.000000	0.830448	0.694189
m.11683	186	0	1	0	0	0	0	-0.432	-0.4473	1.000000	0.833356	0.688176
m.11687	197	1	1	0	0	0	0	-0.345	-0.3262	1.000000	0.782650	0.753986
m.11724	829	3	3	3	1	2	0	-0.964	-1.0855	0.260659	0.841528	0.069330
m.11725	118	0	1	2	1	1	1	-0.737	-0.7788	0.830195	0.877068	0.339392
m.11744	384	3	1	1	2	2	1	0.228	0.2550	0.442683	0.141187	0.819982
m.11754	237	2	2	3	4	3	2	0.266	0.3739	0.219433	0.066272	0.808013
m.11767	390	0	0	0	1	0	0	-0.431	-0.4295	1.000000	0.827490	0.699877
m.1177	593	0	0	1	0	1	0	-0.383	-0.3445	1.000000	0.792128	0.745951
m.11786	188	1	2	1	0	0	0	-0.351	-0.3156	1.000000	0.776812	0.758370
m.11819	281	6	6	4	5	6	4	0.208	0.3113	0.324502	0.100173	0.814550
m.11820	1432	1	0	1	0	0	0	-0.467	-0.4435	1.000000	0.832143	0.690739
m.11826	566	0	1	1	1	1	1	-0.302	-0.2979	1.000000	0.766461	0.765271
m.11828	346	1	1	0	0	0	0	-0.338	-0.3220	1.000000	0.780368	0.755746
m.11831	212	4	4	4	5	5	4	0.122	0.1921	0.591686	0.200238	0.824928
m.11832	897	9	12	7	9	7	11	0.360	0.7635	0.009545	0.002329	0.777889
m.11842	252	2	0	0	0	0	0	-0.442	-0.4228	1.000000	0.825159	0.704084
m.11876	224	1	0	0	0	0	0	-0.398	-0.3976	1.000000	0.815740	0.718982
m.1188	293	5	6	4	5	3	4	0.288	0.4887	0.097518	0.028574	0.796379
m.11898	748	0	1	1	0	0	0	-0.450	-0.4252	1.000000	0.826002	0.702589
m.11907	647	1	0	1	0	0	0	-0.559	-0.5566	0.995670	0.860515	0.598186
m.11921	315	3	3	2	0	0	0	-0.594	-0.6476	0.964274	0.873189	0.500120
m.11933	202	0	2	1	1	0	0	-0.255	-0.2480	1.000000	0.732857	0.782150
m.11971	202	0	1	1	1	0	1	-0.408	-0.4131	1.000000	0.821657	0.709989
m.11993	245	2	1	1	0	0	0	-0.288	-0.2994	1.000000	0.767369	0.764706
m.11995	326	3	1	3	4	5	3	0.214	0.3333	0.284222	0.086957	0.812283
m.12002	156	1	2	4	0	0	1	-1.065	-1.2414	0.091534	0.818820	0.021516
m.12007	433	3	5	4	2	2	3	-0.551	-0.6873	0.936421	0.876096	0.452527
m.12009	511	3	4	3	0	0	0	-0.971	-1.0618	0.298029	0.845187	0.081103
m.12028	524	1	1	3	0	0	0	-0.890	-0.9486	0.510712	0.861863	0.158694
m.12035	180	1	1	1	2	1	1	0.082	0.0912	0.816976	0.322814	0.828679
m.1204	135	0	1	0	0	0	0	-0.259	-0.2629	1.000000	0.743614	0.777484
m.12048	569	9	6	6	7	6	4	0.131	0.2487	0.457043	0.146459	0.820541
m.12051	247	1	0	1	2	2	1	0.279	0.3190	0.309997	0.095378	0.813762
m.12056	309	3	3	2	0	0	1	-0.860	-0.8711	0.668143	0.870976	0.232989
m.12069	191	0	1	0	0	0	0	-0.323	-0.3291	1.000000	0.784202	0.752752
m.12124	155	0	1	1	0	0	0	-0.276	-0.2749	1.000000	0.751820	0.773502
m.12129	447	51	39	55	42	43	43	-0.208	-0.9693	0.468801	0.859014	0.141733
m.1215	381	3	4	5	3	4	2	-0.415	-0.6086	0.982464	0.868797	0.544385
m.12175	403	4	3	2	2	2	2	-0.103	-0.1263	1.000000	0.618489	0.810533
m.12185	535	3	3	4	2	3	2	-0.450	-0.5947	0.987079	0.866858	0.559400
m.12229	471	20	16	20	13	16	13	-0.357	-1.0822	0.265680	0.842037	0.070885
m.1223	739	2	1	3	1	2	1	-1.001	-1.1034	0.234483	0.838772	0.061359
m.12238	232	14	13	14	10	11	12	-0.280	-0.6409	0.968000	0.872543	0.507927
m.12244	109	0	0	0	1	0	0	-0.428	-0.4154	1.000000	0.822501	0.708609
m.12306	644	3	1	1	0	0	0	-0.464	-0.4687	1.000000	0.839813	0.673063
m.12326	225	1	0	1	0	0	0	-0.323	-0.3132	1.000000	0.775453	0.759336
m.12334	1458	2	2	1	2	2	1	0.233	0.2500	0.454066	0.145360	0.820427
m.1235	511	3	4	3	2	1	1	-0.564	-0.6998	0.925458	0.876692	0.437183
m.12364	195	1	1	0	0	0	0	-0.388	-0.3712	1.000000	0.804684	0.733102
m.1238	450	1	2	3	2	2	2	-0.442	-0.5370	0.998211	0.856651	0.616688
m.12417	694	4	4	2	2	2	2	-0.120	-0.1400	1.000000	0.633875	0.808078
m.1245	204	20	14	19	13	13	12	-0.304	-0.8788	0.652912	0.870206	0.224892
m.1249	263	7	7	6	7	8	6	0.259	0.4735	0.109200	0.032142	0.797828
m.12521	914	19	16	15	8	10	8	-0.565	-1.4210	0.020088	0.798955	0.004129
m.12550	201	2	0	1	2	1	1	0.208	0.2266	0.508700	0.166080	0.822401
m.12589	426	1	1	2	0	0	0	-0.822	-0.8863	0.637927	0.869424	0.217147
m.12606	311	1	0	1	0	0	0	-0.385	-0.3738	1.000000	0.805830	0.731776
m.1261	196	2	1	1	2	1	0	0.077	0.0788	0.839805	0.339743	0.828679
m.12642	195	24	14	25	21	23	23	-0.099	-0.3447	1.000000	0.792228	0.745860
m.12643	211	1	1	1	0	0	0	-0.438	-0.4344	1.000000	0.829152	0.696733
m.12647	377	0	0	0	1	1	0	-0.395	-0.3902	1.000000	0.812769	0.723089
m.12648	162	1	2	1	0	0	0	-0.418	-0.4051	1.000000	0.818654	0.714698
m.1265	381	1	1	1	0	0	0	-0.379	-0.3872	0.999999	0.811537	0.724720
m.12662	470	4	5	6	4	4	4	-0.245	-0.4179	1.000000	0.823409	0.707094
m.12676	293	0	1	1	0	0	0	-0.488	-0.4784	1.000000	0.842541	0.665824
m.12686	459	1	1	2	0	0	0	-0.609	-0.6220	0.977134	0.870480	0.529512
m.12693	1749	11	11	12	2	2	3	-1.495	-2.2601	0.000000	0.769070	0.000000
m.12695	530	0	1	0	0	1	0	-0.340	-0.3480	1.000000	0.793858	0.744345
m.12698	142	4	6	5	2	2	2	-0.755	-0.9922	0.423543	0.855725	0.124437
m.12699	199	8	2	8	4	5	4	-0.550	-0.9618	0.483899	0.860062	0.147733
m.12709	550	11	12	10	8	8	7	-0.150	-0.3302	1.000000	0.784786	0.752281
m.12711	510	4	4	4	1	0	0	-1.177	-1.3156	0.050792	0.809668	0.011325
m.12716	167	3	3	2	3	1	2	0.225	0.2889	0.369097	0.115209	0.816790
m.12721	179	3	1	1	0	0	0	-0.374	-0.3540	1.000000	0.796763	0.741537
m.12722	407	2	2	2	2	1	1	-0.188	-0.2262	1.000000	0.715930	0.788449
m.12724	296	0	0	0	0	1	0	-0.444	-0.4319	1.000000	0.828309	0.698344
m.12725	224	9	9	8	5	6	6	-0.317	-0.5630	0.994589	0.861687	0.591926
m.12732	698	14	16	13	10	10	10	-0.155	-0.3833	0.999996	0.809910	0.726812
m.12733	700	7	4	5	3	5	3	-0.403	-0.6140	0.980424	0.869497	0.538437
m.12740	434	6	9	7	3	2	7	-0.733	-1.1837	0.139184	0.826782	0.034118
m.12744	483	1	1	2	0	0	0	-0.661	-0.6677	0.951451	0.874856	0.476279
m.12757	255	6	5	7	7	7	4	0.116	0.2277	0.506091	0.165061	0.822313
m.12762	252	3	3	3	1	2	2	-0.841	-1.0160	0.378291	0.852189	0.108083
m.12764	395	1	1	1	0	0	0	-0.498	-0.5007	1.000000	0.848372	0.648229
m.12770	763	1	2	1	1	0	0	-0.391	-0.3639	1.000000	0.801394	0.736753
m.12778	145	0	0	0	1	1	1	-0.396	-0.4136	1.000000	0.821841	0.709690
m.12781	500	1	2	1	0	2	0	-0.253	-0.2685	1.000000	0.747493	0.775651
m.12786	174	2	0	0	1	0	0	-0.482	-0.4360	1.000000	0.829687	0.695693
m.12790	138	3	2	3	3	2	2	-0.066	-0.0864	1.000000	0.570027	0.816816
m.12795	196	1	2	2	0	0	0	-0.600	-0.6143	0.980307	0.869535	0.538104
m.12796	156	4	2	5	2	2	2	-0.725	-0.9147	0.580210	0.866193	0.189160
m.12799	378	5	5	5	1	3	3	-1.187	-1.4641	0.013336	0.795326	0.002641
m.1281	317	1	0	1	0	0	0	-0.299	-0.3089	1.000000	0.772984	0.761043
m.12810	529	10	8	10	5	6	8	-0.553	-1.1147	0.218888	0.837041	0.056712
m.12813	219	8	1	9	2	1	2	-1.356	-1.8985	0.000063	0.775309	0.000009
m.12818	193	7	7	8	7	8	10	0.039	0.0800	0.837658	0.338092	0.828684
m.12824	377	13	14	12	10	8	8	-0.104	-0.2402	1.000000	0.726966	0.784474
m.12825	688	2	2	1	0	0	1	-0.465	-0.4331	1.000000	0.828714	0.697573
m.12829	263	1	0	1	1	1	0	-0.295	-0.2982	1.000000	0.766643	0.765159
m.1283	112	4	4	5	5	5	5	0.059	0.1011	0.797751	0.309526	0.828599
m.12839	312	1	2	2	1	0	1	-0.721	-0.6940	0.930680	0.876434	0.444318
m.12859	409	0	1	1	0	0	0	-0.484	-0.4605	1.000000	0.837412	0.678992
m.1286	2829	207	218	218	187	201	190	-0.155	-1.5731	0.004353	0.787862	0.000778
m.12872	385	4	4	3	2	1	1	-0.411	-0.4893	1.000000	0.845465	0.657391
m.12890	232	1	1	2	0	1	0	-0.745	-0.7390	0.883826	0.877591	0.388557
m.12895	388	1	0	0	0	0	0	-0.378	-0.3761	1.000000	0.806834	0.730591
m.129	503	3	2	2	2	1	1	-0.237	-0.2782	1.000000	0.754007	0.772370
m.12917	415	3	3	3	1	2	1	-0.915	-0.9685	0.470407	0.859127	0.142365
m.12925	307	1	1	1	0	0	0	-0.542	-0.5474	0.996996	0.858753	0.606997
m.12941	323	10	8	7	6	6	3	-0.093	-0.1763	1.000000	0.671491	0.800749
m.12945	765	1	1	0	0	0	0	-0.517	-0.4726	1.000000	0.840924	0.670182
m.1296	468	4	5	4	3	4	3	-0.192	-0.2968	1.000000	0.765793	0.765684
m.12970	372	4	5	5	2	3	1	-0.835	-1.1050	0.232230	0.838526	0.060683
m.12976	264	5	4	3	3	3	4	-0.045	-0.0605	0.991644	0.535953	0.820225
m.12982	418	2	3	2	3	3	2	0.336	0.4306	0.148939	0.044338	0.802097
m.12991	100	22	25	19	17	14	19	-0.072	-0.2223	1.000000	0.712747	0.789513
m.12999	500	2	2	1	0	0	1	-0.192	-0.1909	1.000000	0.685345	0.797435
m.1301	177	8	10	8	4	7	4	-0.558	-0.9543	0.499102	0.861092	0.153898
m.13014	751	1	1	0	0	0	0	-0.363	-0.3360	1.000000	0.787818	0.749758
m.13024	171	1	1	1	1	1	1	-0.366	-0.3504	1.000000	0.795029	0.743230
m.13026	699	2	2	2	1	0	0	-0.605	-0.5915	0.988018	0.866383	0.562794
m.13050	236	0	0	1	0	0	0	-0.463	-0.4665	1.000000	0.839178	0.674671
m.13061	1080	1	1	0	0	0	0	-0.518	-0.5038	1.000000	0.849137	0.645676
m.13075	235	4	2	1	0	1	1	-0.416	-0.4075	1.000000	0.819566	0.713300
m.13082	610	2	2	1	0	0	0	-0.475	-0.4304	1.000000	0.827798	0.699304
m.13085	424	4	4	3	3	2	2	-0.002	-0.0025	0.951131	0.455067	0.825718
m.13089	190	5	4	4	5	4	4	0.199	0.3356	0.280220	0.085661	0.812043
m.13090	174	3	2	2	0	0	0	-0.667	-0.6732	0.947492	0.875242	0.469658
m.13091	557	1	2	2	1	1	2	-0.603	-0.6377	0.969687	0.872219	0.511628
m.13107	529	6	3	4	2	1	1	-0.750	-0.8861	0.638329	0.869445	0.217352
m.13119	549	5	4	5	4	4	4	-0.185	-0.3069	1.000000	0.771820	0.761826
m.13131	436	7	3	4	3	4	5	-0.163	-0.2347	1.000000	0.722702	0.786065
m.13133	304	4	5	5	3	4	4	-0.380	-0.5489	0.996796	0.859046	0.605576
m.13136	222	1	1	0	1	1	1	-0.468	-0.4855	1.000000	0.844462	0.660367
m.13171	608	0	0	0	0	0	1	-0.358	-0.3589	1.000000	0.799080	0.739193
m.13173	263	0	0	0	1	1	0	-0.552	-0.5288	0.998975	0.854910	0.624125
m.13180	357	3	3	4	2	0	2	-0.697	-0.9639	0.479661	0.859770	0.146036
m.13191	264	5	4	4	3	3	3	-0.335	-0.4695	1.000000	0.840043	0.672475
m.13197	189	5	3	4	4	3	3	-0.010	-0.0152	0.962516	0.473141	0.824764
m.13206	240	5	2	3	1	2	3	-0.795	-0.8865	0.637524	0.869402	0.216943
m.13218	683	2	1	0	1	0	0	-0.476	-0.4245	1.000000	0.825757	0.703027
m.13226	326	4	4	5	2	1	4	-0.861	-1.2067	0.118272	0.823528	0.028503
m.13233	253	2	0	2	2	2	2	-0.095	-0.1090	1.000000	0.598135	0.813409
m.13240	197	4	2	3	0	1	1	-0.966	-1.1019	0.236607	0.839002	0.061997
m.13248	748	1	0	1	0	0	1	-0.422	-0.4149	1.000000	0.822318	0.708910
m.1328	203	1	1	1	1	1	1	-0.452	-0.4311	1.000000	0.828037	0.698857
m.13291	342	0	1	0	0	0	0	-0.458	-0.4231	1.000000	0.825264	0.703898
m.13295	297	5	3	4	1	3	2	-1.060	-1.2836	0.065918	0.813455	0.015039
m.133	397	2	0	1	0	1	1	-0.296	-0.2733	1.000000	0.750749	0.774045
m.13303	395	2	1	2	1	0	0	-0.743	-0.8052	0.788640	0.875976	0.307521
m.13314	295	7	8	7	4	4	6	-0.455	-0.8772	0.656093	0.870369	0.226562
m.1334	391	1	1	2	0	2	0	-0.763	-0.7779	0.831530	0.877095	0.340492
m.13356	586	4	2	3	0	0	0	-0.809	-0.9041	0.601883	0.867446	0.199351
m.13371	1200	11	5	8	3	2	5	-0.804	-1.3533	0.036893	0.805527	0.008001
m.1339	464	4	5	4	3	4	3	-0.174	-0.2424	1.000000	0.728646	0.783826
m.134	169	2	2	3	2	0	2	-0.395	-0.5015	1.000000	0.848571	0.647573
m.13409	233	4	0	5	3	3	3	-0.423	-0.6288	0.974074	0.871264	0.521824
m.13423	531	2	5	1	4	4	3	0.952	1.1733	0.000068	0.000011	0.769041
m.13424	343	1	1	1	0	0	0	-0.298	-0.3025	1.000000	0.769226	0.763527
m.13425	114	1	0	0	0	0	0	-0.403	-0.3655	1.000000	0.802124	0.735962
m.13427	257	0	0	1	0	0	1	-0.312	-0.2894	1.000000	0.761212	0.768407
m.13432	425	0	0	1	0	0	0	-0.413	-0.3859	1.000000	0.810998	0.725421
m.13434	1309	0	2	0	0	0	0	-0.402	-0.3472	1.000000	0.793465	0.744714
m.13436	653	4	3	3	2	3	3	-0.264	-0.3304	1.000000	0.784891	0.752195
m.13443	372	11	13	10	11	9	11	0.146	0.3231	0.302450	0.092900	0.813340
m.13444	605	4	4	2	2	2	2	-0.027	-0.0331	0.976060	0.498340	0.823185
m.13448	293	3	5	4	1	1	2	-1.091	-1.2664	0.075519	0.815592	0.017440
m.1346	158	9	10	9	10	8	10	0.221	0.5212	0.076162	0.022069	0.793417
m.13471	151	1	1	3	1	1	1	-1.010	-1.1288	0.200444	0.834897	0.051314
m.13475	469	4	7	6	2	1	3	-1.013	-1.4120	0.021834	0.799766	0.004521
m.13476	183	2	1	1	1	0	0	-0.464	-0.4785	1.000000	0.842568	0.665748
m.13486	292	13	3	17	6	10	8	-0.977	-2.1074	0.000002	0.771089	0.000000
m.13490	255	6	4	5	2	4	4	-0.736	-1.0268	0.358491	0.850555	0.101198
m.13492	741	0	1	0	0	0	0	-0.336	-0.3091	1.000000	0.773100	0.760964
m.13513	367	0	1	0	0	0	1	-0.492	-0.4842	1.000000	0.844115	0.661376
m.13514	432	1	0	1	0	0	0	-0.246	-0.2406	1.000000	0.727272	0.784356
m.13516	189	7	7	5	5	4	3	-0.001	-0.0015	0.950169	0.453639	0.825788
m.13531	269	2	0	0	1	2	1	-0.227	-0.2144	1.000000	0.706154	0.791613
m.13540	365	0	0	0	0	0	1	-0.394	-0.4093	1.000000	0.820244	0.712244
m.1355	1555	3	3	2	5	3	4	0.688	0.9501	0.001322	0.000260	0.772266
m.13557	339	2	5	4	1	1	1	-1.218	-1.4145	0.021336	0.799539	0.004409
m.13574	515	3	3	3	0	1	1	-1.017	-1.0364	0.341320	0.849092	0.095353
m.13590	549	12	10	10	8	8	8	-0.182	-0.4073	1.000000	0.819490	0.713417
