Protein	Len	S0	S0	S0	S1	S1	S1	LogFoldChange	Zstatistic	fdr	FDRup	FDRdown
m.1041	396	3	3	1	3	3	4	0.998	1.0550	0.001036	0.000070	0.652651
m.1042	331	2	5	2	7	6	4	1.123	1.7052	0.000000	0.000000	0.544207
m.1044	836	0	0	0	1	0	0	-0.192	-0.1785	1.000000	0.334417	0.832720
m.10463	220	3	4	2	9	4	2	1.312	2.0847	0.000000	0.000000	0.511860
m.10468	320	14	18	11	21	15	14	0.715	1.9276	0.000000	0.000000	0.523331
m.10472	547	6	9	6	14	10	7	0.845	1.7276	0.000000	0.000000	0.541828
m.10496	298	23	18	14	32	14	21	0.856	2.7241	0.000000	0.000000	0.484947
m.10498	209	0	1	0	0	0	0	-0.320	-0.3139	1.000000	0.396383	0.760781
m.10499	214	1	1	3	4	7	0	0.341	0.5064	0.208326	0.016976	0.824854
m.1054	285	18	21	14	20	18	9	0.402	1.1903	0.000181	0.000012	0.621988
m.10547	1648	0	1	1	0	1	0	-0.286	-0.2613	1.000000	0.374795	0.793688
m.10557	131	0	1	0	0	2	2	-0.216	-0.2233	1.000000	0.357212	0.813328
m.10558	176	6	11	7	8	12	4	0.188	0.3579	0.484178	0.046372	0.868939
m.10560	427	16	10	9	24	28	13	1.020	2.9622	0.000000	0.000000	0.479269
m.10575	652	7	0	3	1	3	0	-0.822	-0.9441	0.287757	0.472171	0.078106
m.10580	205	0	0	0	1	0	1	-0.253	-0.2234	1.000000	0.357260	0.813280
m.10586	414	0	1	0	2	0	1	0.359	0.3757	0.444685	0.041553	0.864458
m.1060	147	3	6	3	0	3	2	-0.649	-0.7585	0.630988	0.472213	0.232929
m.10603	487	5	5	2	4	4	0	0.471	0.6681	0.060767	0.004507	0.769330
m.10605	698	5	3	2	4	7	2	0.554	0.6907	0.049900	0.003673	0.761613
m.10621	420	3	8	2	4	5	9	0.627	0.8147	0.015325	0.001098	0.720764
m.10638	702	1	1	0	0	3	2	-0.104	-0.0959	1.000000	0.287224	0.859894
m.10645	257	1	2	1	0	3	0	0.007	0.0064	0.993968	0.222733	0.882098
m.1069	424	14	15	10	12	15	9	0.225	0.5278	0.180227	0.014443	0.817656
m.10693	451	5	0	0	1	0	0	-0.217	-0.2038	1.000000	0.347557	0.822232
m.107	99	14	24	14	24	22	16	0.540	1.5960	0.000000	0.000000	0.556796
m.10713	218	30	26	19	35	30	23	0.638	2.1697	0.000000	0.000000	0.506625
m.10714	429	14	14	15	10	15	11	-0.324	-0.7757	0.597032	0.472537	0.213884
m.10723	443	0	1	3	1	2	2	-0.778	-0.9192	0.327655	0.472484	0.092460
m.10726	1630	10	10	7	11	20	5	0.496	1.2073	0.000144	0.000009	0.618510
m.1073	371	5	7	4	4	5	2	0.129	0.1997	0.826156	0.108147	0.893484
m.1074	292	4	6	3	9	8	4	1.075	1.6745	0.000000	0.000000	0.547577
m.10744	282	12	10	8	18	10	11	0.868	2.1609	0.000000	0.000000	0.507138
m.10807	572	44	51	40	51	55	32	0.270	1.1480	0.000319	0.000021	0.630994
m.10812	189	4	3	0	5	1	2	1.147	1.4148	0.000007	0.000000	0.581798
m.10816	192	7	6	3	8	10	4	1.033	1.7143	0.000000	0.000000	0.543232
m.10818	372	6	1	3	2	5	1	-0.307	-0.3774	1.000000	0.418228	0.710582
m.10831	206	1	0	1	3	3	6	0.962	1.0669	0.000895	0.000060	0.649733
m.10852	208	1	3	1	2	5	1	0.380	0.4279	0.337526	0.029616	0.849836
m.10862	241	0	2	0	0	0	0	-0.204	-0.1969	1.000000	0.344041	0.825207
m.10878	258	1	0	1	0	1	0	-0.392	-0.3955	1.000000	0.423640	0.693913
m.10883	471	33	31	18	44	41	21	0.952	3.4830	0.000000	0.000000	0.470936
m.1089	117	26	28	16	23	23	15	0.470	1.3887	0.000010	0.000001	0.585890
m.10893	298	32	56	28	53	37	13	0.672	2.8890	0.000000	0.000000	0.480881
m.10901	228	0	2	0	2	2	1	0.441	0.4669	0.268186	0.022623	0.837768
m.10905	398	3	7	6	8	12	5	0.409	0.7428	0.030994	0.002250	0.744100
m.10909	251	3	0	4	0	1	0	-1.106	-1.2785	0.022802	0.466933	0.004247
m.10914	217	13	10	5	11	9	8	0.815	1.5617	0.000001	0.000000	0.561111
m.10928	723	8	5	4	5	5	3	0.234	0.3795	0.436416	0.040575	0.863465
m.10938	346	3	7	7	16	10	5	0.880	2.0187	0.000000	0.000000	0.516382
m.10939	1302	4	7	2	6	6	4	0.980	1.4381	0.000005	0.000000	0.578259
m.10942	329	0	0	0	1	1	0	-0.089	-0.0820	1.000000	0.278743	0.863569
m.10944	532	0	2	2	1	2	0	-0.570	-0.5516	0.947499	0.456929	0.507392
m.10974	566	9	10	3	9	11	4	1.193	1.7988	0.000000	0.000000	0.534693
m.110	1165	81	147	86	112	129	73	0.271	1.9361	0.000000	0.000000	0.522646
m.1100	513	7	6	6	10	6	7	0.587	1.3017	0.000038	0.000002	0.600565
m.11021	150	1	1	0	0	3	0	0.011	0.0094	0.993372	0.220804	0.882587
m.1103	1107	0	4	0	2	0	0	0.395	0.3857	0.423064	0.039018	0.861819
m.11035	299	6	8	4	4	4	0	0.075	0.1084	0.944541	0.158654	0.893472
m.11041	876	0	0	0	0	1	0	-0.102	-0.0962	1.000000	0.287406	0.859812
m.11045	121	3	6	2	7	2	1	1.083	1.6603	0.000000	0.000000	0.549180
m.11092	1439	0	0	0	1	0	0	-0.336	-0.3124	1.000000	0.395811	0.761821
m.11100	1144	21	26	16	22	31	13	0.404	1.2731	0.000057	0.000004	0.605766
m.11107	150	21	25	15	24	23	14	0.532	1.6387	0.000000	0.000000	0.551672
m.11115	300	3	0	2	0	1	5	-0.461	-0.4774	0.994406	0.443972	0.604405
m.11137	540	1	3	2	1	1	2	-0.589	-0.6253	0.863220	0.465350	0.404715
m.11149	227	17	19	8	22	17	11	0.994	2.3304	0.000000	0.000000	0.498393
m.11152	593	3	0	2	1	3	1	-0.528	-0.5258	0.967912	0.452975	0.542311
m.1116	106	0	0	1	0	0	0	-0.137	-0.1304	0.999995	0.307663	0.849730
m.11167	387	0	0	0	1	0	0	-0.223	-0.2069	1.000000	0.349120	0.820866
m.1126	148	5	7	4	11	7	5	1.057	1.8952	0.000000	0.000000	0.526012
m.11265	213	4	3	2	4	3	3	0.505	0.6602	0.065008	0.004836	0.772040
m.11298	283	2	3	1	0	2	2	-0.067	-0.0658	1.000000	0.268708	0.867576
m.113	378	47	111	56	114	72	57	0.714	4.4755	0.000000	0.000000	0.464216
m.11313	319	1	0	0	0	0	1	-0.288	-0.2750	1.000000	0.380726	0.785796
m.1133	280	3	4	5	4	5	3	-0.159	-0.2554	1.000000	0.372173	0.796949
m.11340	155	7	3	5	4	4	4	-0.109	-0.1592	1.000000	0.323949	0.839978
m.11346	282	0	3	1	2	3	3	0.540	0.6073	0.100209	0.007635	0.790307
m.1135	538	10	9	12	14	14	16	0.240	0.6644	0.062723	0.004658	0.770598
m.11354	351	24	26	18	29	30	16	0.563	1.8276	0.000000	0.000000	0.531986
m.11405	546	0	1	0	2	1	0	0.359	0.3618	0.475428	0.045282	0.867982
m.1141	910	0	0	2	1	2	0	-0.563	-0.6320	0.853670	0.465926	0.395396
m.11430	456	0	0	0	0	0	1	-0.324	-0.2917	1.000000	0.387662	0.775546
m.11436	297	1	1	2	0	1	0	-0.681	-0.7224	0.700724	0.471184	0.275691
m.11443	1087	5	5	0	5	6	0	1.123	1.6012	0.000000	0.000000	0.556158
m.1145	390	0	3	2	3	0	1	0.237	0.3090	0.596523	0.061753	0.879648
m.11458	213	5	9	9	7	8	6	-0.212	-0.4181	1.000000	0.429916	0.671532
m.11472	334	6	11	7	9	14	5	0.347	0.7029	0.044756	0.003282	0.757474
m.11482	410	1	1	1	2	2	0	0.265	0.2943	0.630401	0.067017	0.882360
m.1149	736	2	3	3	7	6	0	0.950	1.5133	0.000001	0.000000	0.567515
m.115	216	11	15	9	18	15	13	0.764	1.8424	0.000000	0.000000	0.530633
m.1152	2284	9	2	2	0	0	4	-0.591	-0.6139	0.878733	0.464303	0.420628
m.11523	224	0	0	1	1	1	0	-0.119	-0.1077	1.000000	0.294319	0.856590
m.11536	523	0	0	0	2	2	2	0.558	0.6014	0.104945	0.008021	0.792350
m.11543	385	16	9	8	14	16	12	0.584	1.3388	0.000022	0.000001	0.594104
m.11553	214	23	22	15	40	28	12	1.001	3.2789	0.000000	0.000000	0.473559
m.11561	392	0	0	0	0	1	0	-0.046	-0.0428	0.999471	0.254231	0.872783
m.1157	147	6	5	3	8	8	4	0.916	1.5031	0.000002	0.000000	0.568915
m.11575	150	3	7	4	4	3	2	0.052	0.0796	0.965824	0.176231	0.891396
m.11603	537	0	6	3	4	2	4	0.316	0.4224	0.348091	0.030729	0.851468
m.1163	121	6	7	7	8	12	4	0.180	0.3485	0.505458	0.049081	0.871187
m.1164	164	3	3	1	3	2	0	0.677	0.7367	0.032822	0.002386	0.746127
m.11654	271	3	2	2	0	3	0	-0.556	-0.5576	0.942092	0.457769	0.499143
m.1168	430	1	0	2	2	1	1	-0.169	-0.2051	1.000000	0.348214	0.821661
m.11683	186	3	0	0	0	0	0	-0.236	-0.2142	1.000000	0.352759	0.817576
m.11687	197	3	3	1	1	3	0	-0.033	-0.0314	0.998788	0.246979	0.875159
m.11700	147	0	0	1	0	0	0	-0.169	-0.1576	1.000000	0.323065	0.840553
m.11724	829	9	8	5	5	10	2	0.058	0.1023	0.949630	0.162326	0.893111
m.11725	118	0	1	1	1	1	2	-0.094	-0.0802	1.000000	0.277635	0.864029
m.1173	565	0	0	1	0	0	1	-0.371	-0.3442	1.000000	0.407371	0.738372
m.11744	384	4	7	3	6	5	0	0.586	0.9637	0.003058	0.000213	0.676514
m.11754	237	10	7	7	10	7	5	0.473	1.0587	0.000990	0.000067	0.651739
m.11767	390	2	2	3	1	1	1	-0.894	-1.0394	0.162711	0.470672	0.038445
m.1177	593	0	0	0	0	2	0	-0.075	-0.0760	1.000000	0.275044	0.865087
m.11786	188	0	0	2	1	3	3	-0.591	-0.6269	0.860951	0.465490	0.402486
m.11819	281	9	18	8	12	10	6	0.430	1.0306	0.001394	0.000095	0.658774
m.11820	1432	0	2	3	1	3	0	-0.937	-1.0131	0.192690	0.471113	0.047219
m.11826	566	0	4	2	1	3	2	-0.487	-0.4924	0.987732	0.446993	0.585733
m.11828	346	1	0	1	1	3	0	0.009	0.0081	0.993628	0.221640	0.882377
m.11831	212	20	8	8	7	13	5	-0.096	-0.1992	1.000000	0.345219	0.824225
m.11832	897	20	26	14	23	26	11	0.565	1.6719	0.000000	0.000000	0.547869
m.11842	252	2	0	3	1	0	1	-0.871	-0.8699	0.414186	0.472916	0.126542
m.11872	568	0	1	0	2	1	0	0.323	0.3421	0.520074	0.050992	0.872668
m.11876	224	0	2	0	3	2	2	0.774	0.8989	0.006311	0.000446	0.694997
m.1188	293	8	11	6	10	13	11	0.548	1.1352	0.000377	0.000025	0.633820
m.11898	748	0	0	0	0	3	1	-0.092	-0.0810	1.000000	0.278128	0.863825
m.11907	647	0	0	0	0	0	1	-0.182	-0.1770	1.000000	0.333617	0.833306
m.11921	315	1	1	1	0	0	0	-0.138	-0.1360	0.999996	0.310889	0.847929
m.11924	283	0	0	3	1	2	0	-0.784	-0.8489	0.453546	0.472995	0.143461
m.11933	202	2	2	1	3	3	1	0.716	0.8549	0.010114	0.000720	0.708231
m.11971	202	0	0	0	1	2	0	-0.085	-0.0848	1.000000	0.280461	0.862847
m.11993	245	0	0	1	0	0	1	-0.107	-0.0947	1.000000	0.286497	0.860220
m.11995	326	14	8	4	11	7	7	0.938	1.6410	0.000000	0.000000	0.551403
m.12002	156	3	4	2	3	5	4	0.536	0.6267	0.085836	0.006477	0.783592
m.12007	433	8	11	14	16	17	13	0.183	0.5137	0.198404	0.016073	0.822412
m.12009	511	1	8	2	6	7	4	0.993	1.3594	0.000016	0.000001	0.590648
m.12028	524	1	3	0	0	1	0	-0.175	-0.1601	1.000000	0.324445	0.839653
m.12035	180	5	4	3	1	5	2	-0.708	-0.8042	0.540541	0.472875	0.184371
m.1204	135	2	0	0	1	2	0	-0.110	-0.1138	1.000000	0.297946	0.854814
m.12048	569	18	25	11	23	30	13	0.705	1.9582	0.000000	0.000000	0.520901
m.12051	247	4	3	2	4	5	1	0.639	0.8392	0.011917	0.000850	0.713078
m.12056	309	1	3	2	5	3	4	0.876	1.1632	0.000261	0.000017	0.627699
m.12069	191	1	1	0	0	0	0	-0.064	-0.0603	1.000000	0.265268	0.868871
m.12097	491	0	0	0	1	1	0	-0.319	-0.2733	1.000000	0.380002	0.786800
m.12124	155	5	2	2	2	6	0	0.061	0.0701	0.971392	0.182149	0.890508
m.12129	447	104	216	110	157	179	95	0.383	2.7094	0.000000	0.000000	0.485341
m.1215	381	6	14	4	8	10	5	0.639	1.1292	0.000407	0.000027	0.635162
m.12175	403	6	8	5	6	7	4	0.256	0.4607	0.278538	0.023635	0.839739
m.12185	535	6	6	2	9	7	2	1.362	2.1876	0.000000	0.000000	0.505604
m.12229	471	37	58	29	59	56	32	0.763	3.1619	0.000000	0.000000	0.475429
m.1223	739	4	5	3	3	9	3	0.083	0.1189	0.934986	0.152407	0.893992
m.12238	232	35	45	27	45	40	27	0.529	2.1512	0.000000	0.000000	0.507710
m.12306	644	1	4	3	2	2	1	-0.315	-0.3783	1.000000	0.418505	0.709779
m.12326	225	1	2	0	3	4	0	0.760	0.8764	0.008049	0.000571	0.701699
m.12334	1458	7	7	3	6	10	3	0.729	1.1698	0.000239	0.000015	0.626289
m.1235	511	9	4	3	3	6	3	0.157	0.1950	0.834200	0.110510	0.893740
m.12364	195	0	0	0	0	3	0	-0.118	-0.1127	1.000000	0.297294	0.855138
m.1238	450	7	7	4	4	6	1	0.011	0.0154	0.992065	0.216947	0.883539
m.1240	151	0	0	0	0	0	1	-0.144	-0.1400	0.999989	0.313176	0.846616
m.12417	694	7	8	5	6	12	6	0.282	0.5014	0.215324	0.017619	0.826519
m.1245	204	40	45	32	38	48	26	0.226	0.8832	0.007482	0.000530	0.699659
m.1249	263	6	31	14	22	14	11	0.488	1.4932	0.000002	0.000000	0.570289
m.12517	148	0	0	1	1	0	1	-0.152	-0.1409	0.999994	0.313689	0.846317
m.12521	914	28	29	20	32	30	22	0.507	1.8648	0.000000	0.000000	0.528634
m.12550	201	5	4	3	7	6	6	0.817	1.4149	0.000007	0.000000	0.581783
m.12589	426	2	0	2	0	2	0	-0.433	-0.4631	0.999580	0.440891	0.621654
m.12606	311	0	1	1	4	4	5	1.080	1.2743	0.000056	0.000003	0.605544
m.1261	196	3	9	3	4	2	4	0.230	0.3307	0.546306	0.054530	0.875204
m.12642	195	48	65	39	73	59	40	0.658	3.1872	0.000000	0.000000	0.475000
m.12643	211	2	2	1	1	4	0	0.120	0.1154	0.938281	0.154479	0.893833
m.12644	250	1	0	0	0	0	0	-0.249	-0.2342	1.000000	0.362424	0.808016
m.12647	377	0	2	0	0	1	0	-0.202	-0.1849	1.000000	0.337805	0.830175
m.12648	162	3	3	0	4	2	1	0.993	1.1746	0.000224	0.000014	0.625272
m.1265	381	0	0	1	2	0	1	0.310	0.3134	0.586340	0.060236	0.878789
m.12659	176	0	0	0	0	0	3	-0.107	-0.1010	1.000000	0.290303	0.858487
m.12662	470	16	16	15	23	19	14	0.475	1.3120	0.000032	0.000002	0.598740
m.12676	293	1	2	2	1	1	0	-0.690	-0.6186	0.872433	0.464745	0.414060
m.12686	459	3	4	4	1	4	1	-0.986	-1.2367	0.033982	0.467506	0.006509
m.12693	1749	23	17	22	20	26	14	-0.064	-0.2083	1.000000	0.349823	0.820243
m.12695	530	0	3	1	2	1	1	0.326	0.3159	0.580546	0.059386	0.878291
m.12698	142	7	13	6	17	11	7	1.074	2.2179	0.000000	0.000000	0.503936
m.12699	199	15	18	9	19	17	12	0.755	1.9036	0.000000	0.000000	0.525306
m.12709	550	23	30	16	26	26	15	0.571	1.7561	0.000000	0.000000	0.538895
m.12711	510	3	8	4	8	2	2	0.596	0.9907	0.002237	0.000154	0.669187
m.12713	362	0	1	0	0	0	0	-0.111	-0.1049	1.000000	0.292645	0.857390
m.12716	167	4	4	2	7	4	4	1.049	1.5552	0.000001	0.000000	0.561949
m.12721	179	3	0	1	0	1	5	0.006	0.0053	0.994177	0.223440	0.881917
m.12722	407	6	6	4	3	7	2	-0.203	-0.2652	1.000000	0.376505	0.791488
m.12724	296	3	0	2	0	0	0	-0.708	-0.7349	0.676911	0.471598	0.260479
m.12725	224	19	26	17	22	22	16	0.313	0.9636	0.003061	0.000213	0.676542
m.12732	698	31	38	24	35	33	24	0.407	1.5387	0.000001	0.000000	0.564107
m.12733	700	12	14	8	16	18	4	0.712	1.6218	0.000000	0.000000	0.553668
m.12740	434	14	19	15	21	21	12	0.384	1.2179	0.000124	0.000008	0.616381
m.12744	483	5	4	2	4	5	1	0.665	0.8794	0.007795	0.000552	0.700797
m.12757	255	16	18	8	22	14	12	1.093	2.5233	0.000000	0.000000	0.490914
m.12762	252	8	0	11	9	7	29	-0.123	-0.2904	1.000000	0.387134	0.776370
m.12764	395	0	2	1	2	2	1	0.411	0.4035	0.385774	0.034804	0.856922
m.12766	325	0	0	0	0	0	2	-0.076	-0.0744	1.000000	0.274054	0.865485
m.12770	763	1	3	1	5	3	1	1.126	1.3857	0.000011	0.000001	0.586369
m.12778	145	2	2	2	1	2	1	-0.631	-0.6012	0.894988	0.463032	0.438404
m.12781	500	4	4	3	4	3	1	0.270	0.3993	0.394424	0.035765	0.858099
m.12786	174	2	0	0	0	0	3	-0.049	-0.0460	0.999621	0.256259	0.872091
m.12790	138	6	9	5	14	9	1	0.992	1.9662	0.000000	0.000000	0.520282
m.12795	196	1	1	0	1	0	0	-0.227	-0.2136	1.000000	0.352462	0.817850
m.12796	156	13	18	10	21	16	15	0.783	2.0118	0.000000	0.000000	0.516879
m.12799	378	7	7	6	9	7	8	0.471	0.9650	0.003012	0.000209	0.676156
m.1281	317	1	2	0	1	2	0	-0.096	-0.0911	1.000000	0.284310	0.861189
m.12810	529	5	22	18	27	24	12	0.443	1.4579	0.000003	0.000000	0.575332
m.12813	219	8	6	7	13	9	8	0.636	1.2101	0.000138	0.000009	0.617944
m.12818	193	21	37	18	33	28	13	0.629	2.1506	0.000000	0.000000	0.507746
m.12824	377	28	15	18	27	37	21	0.451	1.4960	0.000002	0.000000	0.569899
m.12825	688	0	2	2	4	5	3	0.725	0.9380	0.004093	0.000287	0.683696
m.12829	263	4	2	1	2	4	2	0.652	0.6991	0.046307	0.003399	0.758761
m.1283	112	8	5	5	9	11	4	0.660	1.3449	0.000020	0.000001	0.593071
m.12839	312	4	10	3	8	6	2	0.875	1.4513	0.000004	0.000000	0.576299
m.12859	409	0	0	0	1	0	1	-0.214	-0.2109	1.000000	0.351121	0.819076
m.1286	2829	491	771	434	730	643	466	0.516	8.2699	0.000000	0.000000	0.461262
m.12872	385	8	4	6	5	7	5	-0.038	-0.0642	1.000000	0.267709	0.867956
m.12890	232	2	2	2	0	7	2	-0.286	-0.3224	1.000000	0.399571	0.754765
m.12895	388	4	0	1	4	3	0	1.027	1.1230	0.000441	0.000029	0.636559
m.129	503	4	6	4	5	5	1	0.134	0.2291	0.771510	0.094034	0.891241
m.12917	415	4	3	1	1	3	2	0.129	0.1217	0.932272	0.150757	0.894108
m.12931	406	0	0	1	1	0	0	-0.153	-0.1576	1.000000	0.323065	0.840553
m.12941	323	18	22	10	29	14	19	1.073	2.9039	0.000000	0.000000	0.480544
m.12945	765	0	1	1	2	1	1	0.304	0.3347	0.537080	0.053269	0.874329
m.1296	468	12	13	6	14	13	9	0.915	1.9471	0.000000	0.000000	0.521771
m.12970	372	2	10	7	12	8	5	0.539	1.1772	0.000216	0.000014	0.624723
m.12976	264	4	7	2	5	8	4	0.892	1.1461	0.000327	0.000021	0.631410
m.12982	418	10	7	6	6	8	5	0.123	0.2109	0.806186	0.102634	0.892761
m.12989	486	0	1	0	0	0	0	-0.031	-0.0299	0.998663	0.246022	0.875462
m.12991	100	34	71	38	61	53	33	0.516	2.4384	0.000000	0.000000	0.493934
m.12999	500	1	6	2	5	3	2	0.827	1.0947	0.000633	0.000042	0.643085
m.1301	177	14	22	12	15	25	17	0.308	0.7755	0.022646	0.001633	0.733352
m.13014	751	0	1	0	0	1	0	-0.305	-0.2473	1.000000	0.368509	0.801295
m.13024	171	0	0	1	0	3	1	-0.058	-0.0497	0.999774	0.258598	0.871279
m.13026	699	4	1	1	1	5	1	-0.097	-0.0925	1.000000	0.285161	0.860814
m.13039	212	2	0	0	0	0	2	-0.118	-0.1108	1.000000	0.296166	0.855694
m.13050	236	0	4	1	0	4	1	-0.008	-0.0082	0.996369	0.232119	0.879588
m.13075	235	6	6	2	5	5	2	0.796	1.0576	0.001004	0.000068	0.652010
m.13082	610	1	2	2	0	0	2	-0.490	-0.5321	0.963354	0.453993	0.533878
m.13085	424	7	10	5	9	8	5	0.679	1.2955	0.000041	0.000003	0.601676
m.13089	190	13	9	6	11	15	8	0.618	1.3160	0.000031	0.000002	0.598038
m.13090	174	9	9	4	9	8	4	0.842	1.4826	0.000002	0.000000	0.571780
m.13091	557	4	9	2	6	5	2	1.079	1.5479	0.000001	0.000000	0.562898
m.13094	265	0	0	0	0	0	4	-0.120	-0.1122	1.000000	0.296997	0.855285
m.13107	529	12	5	5	5	14	8	0.218	0.3679	0.461848	0.043615	0.866457
m.13119	549	14	18	10	13	12	2	0.348	0.8540	0.010210	0.000727	0.708507
m.13131	436	16	10	11	10	16	8	-0.008	-0.0199	0.997781	0.239626	0.877423
m.13133	304	15	9	12	17	15	17	0.324	0.8256	0.013712	0.000981	0.717327
m.13136	222	3	3	2	2	3	1	-0.052	-0.0571	0.999988	0.263260	0.869611
m.13171	608	0	1	1	0	1	0	-0.071	-0.0661	1.000000	0.268895	0.867504
m.13173	263	0	0	0	0	1	0	-0.147	-0.1473	0.999981	0.317313	0.844158
m.13180	357	7	1	2	9	4	7	1.358	2.0349	0.000000	0.000000	0.515234
m.13191	264	8	10	6	11	10	7	0.686	1.3370	0.000022	0.000001	0.594410
m.13197	189	4	6	4	6	3	6	0.503	0.7594	0.026466	0.001915	0.738618
m.132	146	1	0	0	0	0	1	-0.228	-0.2247	1.000000	0.357889	0.812659
m.13206	240	6	8	1	5	11	0	1.396	1.6916	0.000000	0.000000	0.545684
m.13208	752	0	0	1	0	0	0	-0.040	-0.0384	0.999233	0.251437	0.873716
m.13218	683	4	0	1	4	1	0	0.906	1.1094	0.000525	0.000035	0.639665
m.13226	326	4	11	3	10	13	7	1.177	1.9138	0.000000	0.000000	0.524459
m.13233	253	0	13	5	13	5	8	1.046	1.9686	0.000000	0.000000	0.520098
m.13240	197	6	6	3	7	9	3	0.891	1.4667	0.000003	0.000000	0.574054
m.13248	748	1	0	0	1	0	0	-0.164	-0.1449	0.999998	0.315958	0.844975
m.1328	203	0	2	0	2	2	1	0.455	0.4781	0.250146	0.020884	0.834166
m.13287	313	3	0	1	2	1	1	0.161	0.1584	0.889720	0.129850	0.894762
m.13295	297	4	5	2	1	7	2	-0.329	-0.3364	1.000000	0.404642	0.744401
m.133	397	3	3	1	2	3	1	0.670	0.7416	0.031347	0.002276	0.744498
m.13303	395	0	4	2	2	4	1	0.061	0.0694	0.971775	0.182587	0.890439
m.13314	295	19	30	8	23	20	23	1.092	2.7951	0.000000	0.000000	0.483119
m.1334	391	1	3	2	4	4	2	0.658	0.8908	0.006892	0.000487	0.697394
m.13347	625	0	1	0	0	0	0	-0.213	-0.2018	1.000000	0.346544	0.823103
m.13356	586	2	1	1	10	1	1	1.805	2.5763	0.000000	0.000000	0.489201
m.13371	1200	9	14	11	18	29	14	0.520	1.4184	0.000006	0.000000	0.581245
m.1339	464	11	9	10	9	24	10	0.056	0.1264	0.927544	0.148004	0.894283
m.134	169	4	4	2	7	5	4	1.169	1.6263	0.000000	0.000000	0.553132
m.13409	233	9	7	5	11	9	7	0.845	1.5735	0.000000	0.000000	0.559606
m.13423	531	11	11	8	11	11	8	0.286	0.6646	0.062616	0.004650	0.770530
m.13424	343	1	2	2	1	2	0	-0.472	-0.4893	0.989217	0.446386	0.589638
